"Estimate"	"Std..Error"	"t.value"	"Pr...t.."
"projectsphinx-gallery:typepr_reply:author_groupmember"	0.0719591878240398	0.00552524407991218	13.0237120357556	9.10011632643793e-39
"projectmatplotlib:typeissue_post:author_groupnonmember"	0.0669388269432031	0.0040290788168755	16.6139283904883	5.73880220216544e-62
"projectmayavi:typeissue_post:author_groupnonmember"	0.153899376286861	0.0116641326414348	13.1942409279675	9.6149097206847e-40
"projectnumpy:typeissue_post:author_groupnonmember"	0.0563501529514797	0.00441836275932885	12.753627536015	3.01532683560275e-37
"projectpandas:typeissue_post:author_groupnonmember"	0.0535799574095302	0.00280959098155722	19.0703763505937	4.75307063740441e-81
"projectscikit-image:typeissue_post:author_groupnonmember"	0.0826413708216914	0.00880142084086408	9.38954883716003	6.04949130134292e-21
"projectscikit-learn:typeissue_post:author_groupnonmember"	0.0994383799999425	0.0040528534071982	24.5354001265705	7.4101273563508e-133
"projectscipy:typeissue_post:author_groupnonmember"	0.0764291430572197	0.00492063434299173	15.5323760575859	2.15633674558375e-54
"projectsphinx-gallery:typeissue_post:author_groupnonmember"	0.0722028313083277	0.0224931842752986	3.20998709763023	0.00132749210747509
"projectmatplotlib:typeissue_reply:author_groupnonmember"	0.1391654510076	0.00254906528947728	54.5946985281563	0
"projectmayavi:typeissue_reply:author_groupnonmember"	0.163302101552939	0.00772457075045126	21.1406053266324	3.71804914477845e-99
"projectnumpy:typeissue_reply:author_groupnonmember"	0.129941759554142	0.00270500413734985	48.0375455844768	0
"projectpandas:typeissue_reply:author_groupnonmember"	0.13744866316468	0.00187558562407854	73.283064979882	0
"projectscikit-image:typeissue_reply:author_groupnonmember"	0.127830886610081	0.00523545822940367	24.4163702600376	1.36674833885489e-131
"projectscikit-learn:typeissue_reply:author_groupnonmember"	0.12687634374795	0.00221285324427128	57.3360859227391	0
"projectscipy:typeissue_reply:author_groupnonmember"	0.134724391713133	0.00319939932879544	42.1092767322223	0
"projectsphinx-gallery:typeissue_reply:author_groupnonmember"	0.12538320314425	0.0135639004693614	9.24388994356527	2.38574153419407e-20
"projectmatplotlib:typepr_post:author_groupnonmember"	0.0218097937588592	0.00530322909841052	4.11254979827215	3.91374752407196e-05
"projectmayavi:typepr_post:author_groupnonmember"	0.023630017519089	0.0234933647617413	1.00581665328631	0.314504255947217
"projectnumpy:typepr_post:author_groupnonmember"	0.013624601879758	0.00558703975226328	2.43860836576987	0.014744278829709
"projectpandas:typepr_post:author_groupnonmember"	0.0186278505546735	0.00400175367627987	4.65492183216794	3.24185669351242e-06
"projectscikit-image:typepr_post:author_groupnonmember"	0.0244819637020353	0.00860467829794371	2.84519221455214	0.00443864125133861
"projectscikit-learn:typepr_post:author_groupnonmember"	0.0236163952894082	0.00406110209973558	5.81526755777599	6.05731974276978e-09
"projectscipy:typepr_post:author_groupnonmember"	0.0284753264270067	0.00571135570318967	4.98573857186024	6.17459035218349e-07
"projectsphinx-gallery:typepr_post:author_groupnonmember"	0.0256721177985165	0.0299909123670648	0.85599655936806	0.392000087970424
"projectmatplotlib:typepr_reply:author_groupnonmember"	0.127988740137933	0.00334227199526904	38.2939330847699	2.23614111307748e-320
"projectmayavi:typepr_reply:author_groupnonmember"	0.12996509635499	0.0152811095878218	8.50495152908038	1.82154686776751e-17
"projectnumpy:typepr_reply:author_groupnonmember"	0.113891583045948	0.00328278755767926	34.6935587651801	2.01604959377841e-263
"projectpandas:typepr_reply:author_groupnonmember"	0.0789502738147159	0.00200717360897268	39.3340533483422	0
"projectscikit-image:typepr_reply:author_groupnonmember"	0.128884626116574	0.00446894255790895	28.8400722198766	9.50417158014496e-183
"projectscikit-learn:typepr_reply:author_groupnonmember"	0.127095636703053	0.00217640593321212	58.3970273024732	0
"projectscipy:typepr_reply:author_groupnonmember"	0.1353273222783	0.00326831630556982	41.4058217216239	0
"projectsphinx-gallery:typepr_reply:author_groupnonmember"	0.0747793638778364	0.0141963937517785	5.26749012357229	1.38357961430963e-07
