"Estimate"	"Std..Error"	"t.value"	"Pr...t.."
"projectmatplotlib:typeissue_post:author_groupmember"	0.0334868100489595	0.00515605194536663	6.49466110966	8.3297160376577e-11
"projectmayavi:typeissue_post:author_groupmember"	0	0.0241906485289587	0	1
"projectnumpy:typeissue_post:author_groupmember"	0.0173671940149295	0.0049540873600429	3.50562934255142	0.000455568505623918
"projectpandas:typeissue_post:author_groupmember"	0.0100104814037203	0.00266515216315621	3.75606374079044	0.000172626079247388
"projectscikit-image:typeissue_post:author_groupmember"	0.00760307693484401	0.00942308035517281	0.80685685023054	0.419749340585587
"projectscikit-learn:typeissue_post:author_groupmember"	0.00899423988963292	0.00464823850847931	1.93497813703528	0.0529935352850663
"projectscipy:typeissue_post:author_groupmember"	0.00906613434739524	0.00759956195377598	1.19298117477555	0.232877305277177
"projectsphinx-gallery:typeissue_post:author_groupmember"	0.0147478123523393	0.0227312140180151	0.648791232208328	0.51647361989585
"projectmatplotlib:typeissue_reply:author_groupmember"	0.034924823465097	0.00150551679711588	23.1978969161968	5.51926345948646e-119
"projectmayavi:typeissue_reply:author_groupmember"	0.0863369620404781	0.00867774133161531	9.94924355787487	2.55365363832842e-23
"projectnumpy:typeissue_reply:author_groupmember"	0.0311261700021683	0.0015178562849552	20.5066647683888	2.04952656159495e-93
"projectpandas:typeissue_reply:author_groupmember"	0.0427469875674244	0.000978003050655292	43.7084399059723	0
"projectscikit-image:typeissue_reply:author_groupmember"	0.0657214747017667	0.00298038455959269	22.0513404856548	1.04271774434729e-107
"projectscikit-learn:typeissue_reply:author_groupmember"	0.0533597595990108	0.00132027629875573	40.4156006203389	0
"projectscipy:typeissue_reply:author_groupmember"	0.0455067454850659	0.0020104280136188	22.635351863782	2.21538903430081e-113
"projectsphinx-gallery:typeissue_reply:author_groupmember"	0.0290950668383187	0.00774362027568054	3.75729514135579	0.000171779134051904
"projectmatplotlib:typepr_post:author_groupmember"	0.0125674226803151	0.00292991543848106	4.28934655084459	1.79232747177413e-05
"projectmayavi:typepr_post:author_groupmember"	0.0240199518015823	0.0155063960819373	1.54903509975229	0.121373908160655
"projectnumpy:typepr_post:author_groupmember"	0.00668960929699465	0.00348550060815742	1.91926786107522	0.0549510050385181
"projectpandas:typepr_post:author_groupmember"	0.00545245880181864	0.00259458790970546	2.1014739109139	0.035599879043577
"projectscikit-image:typepr_post:author_groupmember"	0.0103397069107581	0.00579365048919381	1.78466183454517	0.0743167840427646
"projectscikit-learn:typepr_post:author_groupmember"	0.0159152159234377	0.00372575751829531	4.27167249754878	1.940477222641e-05
"projectscipy:typepr_post:author_groupmember"	0.012043589740072	0.00416047315765161	2.89476443753095	0.00379459377949914
"projectsphinx-gallery:typepr_post:author_groupmember"	0	0.0171571277756036	0	1
"projectmatplotlib:typepr_reply:author_groupmember"	0.0663785094143137	0.00122550912682883	54.164026983689	0
"projectmayavi:typepr_reply:author_groupmember"	0.230141895230456	0.0105425541229114	21.8298044807097	1.35352537303051e-105
"projectnumpy:typepr_reply:author_groupmember"	0.0962384425235782	0.00129986379369951	74.0373283647486	0
"projectpandas:typepr_reply:author_groupmember"	0.100326687153956	0.000932589500665674	107.578615331122	0
"projectscikit-image:typepr_reply:author_groupmember"	0.125829965092912	0.00195654559353736	64.3123091578028	0
"projectscikit-learn:typepr_reply:author_groupmember"	0.102910945154393	0.000900530702533492	114.278108303104	0
"projectscipy:typepr_reply:author_groupmember"	0.122761027091924	0.00149753638498232	81.9753218172216	0
