"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectmatplotlib:typeissue_post:author_groupmember"	0.086982630408579	0.0121976619232264	463968.439234801	7.13109044635427	0.000000000000997211104747184
"projectmayavi:typeissue_post:author_groupmember"	0.0143468064937393	0.0565294966327584	339828.064978332	0.253793282238876	0.799655417106528
"projectnumpy:typeissue_post:author_groupmember"	0.0432112967754439	0.011175436172624	482751.309497107	3.86663179029172	0.000110363289202312
"projectpandas:typeissue_post:author_groupmember"	0.0898479170690748	0.00713708402046541	251902.890040253	12.5888831925529	0.00000000000000000000000000000000000249299229873843
"projectscikit-image:typeissue_post:author_groupmember"	0.0407900062683493	0.0203897324117096	506562.165640169	2.00051699770832	0.0454449990621845
"projectscikit-learn:typeissue_post:author_groupmember"	0.0782758902599749	0.0104140726099645	451400.04162269	7.51635725922232	0.0000000000000564266579396607
"projectscipy:typeissue_post:author_groupmember"	0.0150327882024982	0.0161031544290131	507469.931642963	0.933530648840678	0.350546497732725
"projectsphinx-gallery:typeissue_post:author_groupmember"	0.0890657958942003	0.0516851658997134	494449.896136486	1.72323710959965	0.0848462806566842
"projectmatplotlib:typepr_post:author_groupmember"	0.0848586979008574	0.00804296319746719	284994.810767954	10.5506758911417	0.0000000000000000000000000509939399013265
"projectmayavi:typepr_post:author_groupmember"	0.0141034155883395	0.0420198733889624	180752.88727781	0.335636793994819	0.737145163895509
"projectnumpy:typepr_post:author_groupmember"	0.0545328695484106	0.0083355947591152	390971.440122033	6.5421689902544	0.0000000000607072791390845
"projectpandas:typepr_post:author_groupmember"	0.0487623399849369	0.00699246574289723	235474.554892262	6.97355436234613	0.00000000000309840435353649
"projectscikit-image:typepr_post:author_groupmember"	0.105454581233576	0.0137970070357995	466105.046239481	7.64329401006685	0.000000000000021213485260763
"projectscikit-learn:typepr_post:author_groupmember"	0.0965728717576319	0.00895959288894041	387362.231608078	10.7787120413518	0.00000000000000000000000000437779859499204
"projectscipy:typepr_post:author_groupmember"	0.0654677221358639	0.00963126365276129	442799.769865846	6.79741771133991	0.0000000000106644910257269
"projectsphinx-gallery:typepr_post:author_groupmember"	0.0894395685919827	0.036031910158341	499266.806705728	2.48223222690508	0.0130565417370809
"projectmatplotlib:typeissue_reply:author_groupmember"	0.17109377271609	0.00634750610499064	162678.478252978	26.9544873035364	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113718407473613
"projectmayavi:typeissue_reply:author_groupmember"	0.143346092998908	0.0334835815823628	84341.5874624479	4.2810860196155	0.0000186188533284939
"projectnumpy:typeissue_reply:author_groupmember"	0.149830249362043	0.00562745430743225	172150.521257011	26.6248717762418	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000725834616570231
"projectpandas:typeissue_reply:author_groupmember"	0.173902147510261	0.00511884857465796	95349.9051147769	33.9729032757881	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180084446586202
"projectscikit-image:typeissue_reply:author_groupmember"	0.201826896404154	0.009835283392152	308220.870374575	20.5206996440184	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162523183645355
"projectscikit-learn:typeissue_reply:author_groupmember"	0.174142761313199	0.00552620724997368	127584.281779901	31.5121661993456	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000406173428658632
"projectscipy:typeissue_reply:author_groupmember"	0.167653444888748	0.00624868104987064	219641.729244592	26.8302132163104	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000259021790953601
"projectsphinx-gallery:typeissue_reply:author_groupmember"	0.267622121976971	0.0174281685553039	507529.19253896	15.3557226123755	0.0000000000000000000000000000000000000000000000000000333354497658246
"projectmatplotlib:typepr_reply:author_groupmember"	0.195926817905185	0.00608454935886247	142334.171056334	32.2007114002301	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113369500144532
"projectmayavi:typepr_reply:author_groupmember"	0.15487115911282	0.0353661633739277	102241.347641469	4.37907718389924	0.0000119301101290528
"projectnumpy:typepr_reply:author_groupmember"	0.223523007833188	0.00547081383677288	156840.216758204	40.8573595267938	0
"projectpandas:typepr_reply:author_groupmember"	0.20233786570719	0.00515210519403883	96805.6869412563	39.2728521811437	0
"projectscikit-image:typepr_reply:author_groupmember"	0.261068187732641	0.00878689848966131	240580.215639599	29.7110735989286	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124128175088973
"projectscikit-learn:typepr_reply:author_groupmember"	0.22267605738096	0.00519876024441588	102187.092605838	42.832530624997	0
"projectscipy:typepr_reply:author_groupmember"	0.24312795494945	0.00569183950835446	168017.437629269	42.715181022337	0
"projectsphinx-gallery:typepr_reply:author_groupmember"	0.223911873206991	0.0131073442801402	495515.482220698	17.082932165462	0.0000000000000000000000000000000000000000000000000000000000000000207657543438972
"projectmatplotlib:typeissue_post:author_groupnonmember"	0.076937701245007	0.0076609925959504	223759.838842919	10.0427849630969	0.00000000000000000000000999951972271682
"projectmayavi:typeissue_post:author_groupnonmember"	0.0570482906640458	0.0227601906015844	232078.960515076	2.50649441661857	0.0121941765591574
"projectnumpy:typeissue_post:author_groupnonmember"	0.0205537137256585	0.0083492199125161	264795.363151749	2.4617525877893	0.0138266330314722
"projectpandas:typeissue_post:author_groupnonmember"	0.106115977174064	0.0053677226318469	133561.521784367	19.7692735732048	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000729477938312441
"projectscikit-image:typeissue_post:author_groupnonmember"	0.0592301372341655	0.0164106790107494	305293.407366203	3.60924354168212	0.00030714027749345
"projectscikit-learn:typeissue_post:author_groupnonmember"	0.0839499876591709	0.00773736826496301	219285.987737136	10.8499408047204	0.00000000000000000000000000202785457555492
