"Estimate"	"Std..Error"	"t.value"	"Pr...t.."
"projectmatplotlib:typeissue_post:author_groupmember"	0.0342317117773721	0.00542001918284779	6.315791627768	0.000000000269003157660706
"projectmayavi:typeissue_post:author_groupmember"	0	0.0253620436799311	0	1
"projectnumpy:typeissue_post:author_groupmember"	0.017657057063397	0.005149216744192	3.42907629268336	0.000605687338775692
"projectpandas:typeissue_post:author_groupmember"	0.00919080277077595	0.00278362818767073	3.30173505624205	0.000960954152024846
"projectscikit-image:typeissue_post:author_groupmember"	0.00802873182115767	0.00977833088051252	0.821073853939462	0.411604587489647
"projectscikit-learn:typeissue_post:author_groupmember"	0.00681784112026176	0.00481649006814689	1.41552064341428	0.156916513638102
"projectscipy:typeissue_post:author_groupmember"	0.00793679977740395	0.00793813235472346	0.999832129616897	0.317392230704516
"projectsphinx-gallery:typeissue_post:author_groupmember"	0	0.0250389471284871	0	1
"projectmatplotlib:typepr_post:author_groupmember"	0.0121738253446313	0.00301019614398705	4.04419671088505	0.0000525105703560382
"projectmayavi:typepr_post:author_groupmember"	0.0254032998110975	0.0161032273749641	1.57752848044562	0.1146745972765
"projectnumpy:typepr_post:author_groupmember"	0.00622661538886917	0.00358673461416574	1.73601229493737	0.0825622673793534
"projectpandas:typepr_post:author_groupmember"	0.00475090097674714	0.00268270102146208	1.77093941469403	0.07657137704968
"projectscikit-image:typepr_post:author_groupmember"	0.00940300318115853	0.00601269708789382	1.56385779022377	0.117851592414101
"projectscikit-learn:typepr_post:author_groupmember"	0.0155817784560686	0.00392316513428867	3.97173657562438	0.0000713604247580975
"projectscipy:typepr_post:author_groupmember"	0.0107971310777957	0.00432893462495301	2.4941774393077	0.0126252570267118
"projectsphinx-gallery:typepr_post:author_groupmember"	0.000000000000000104626466931998	0.0179921843945456	0.00000000000000581510641719058	0.999999999999995
"projectmatplotlib:typeissue_reply:author_groupmember"	0.0338132954477654	0.00154441368430429	21.8939367032333	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000332433599339928
"projectmayavi:typeissue_reply:author_groupmember"	0.0853294193027918	0.0089960921972718	9.48516505073939	0.00000000000000000000242987715317406
"projectnumpy:typeissue_reply:author_groupmember"	0.0300629039105211	0.00155451548509219	19.3390829482397	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000269970671721737
"projectpandas:typeissue_reply:author_groupmember"	0.0410591357073298	0.00100101064662287	41.0176813262194	0
"projectscikit-image:typeissue_reply:author_groupmember"	0.0650214846082413	0.00305610868589609	21.275907139139	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210040633237704
"projectscikit-learn:typeissue_reply:author_groupmember"	0.0526372425225085	0.00135262515351295	38.9148777736407	0
"projectscipy:typeissue_reply:author_groupmember"	0.0449095672289688	0.00206251521048166	21.7741750464381	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000455657545110244
"projectsphinx-gallery:typeissue_reply:author_groupmember"	0.0265889791484636	0.00809410270908878	3.28498168408551	0.00101995906496042
"projectmatplotlib:typepr_reply:author_groupmember"	0.0654981250522319	0.00125180871440251	52.3227904540466	0
"projectmayavi:typepr_reply:author_groupmember"	0.232320783451445	0.0109246004024906	21.2658380986165	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000260280120435475
"projectnumpy:typepr_reply:author_groupmember"	0.0966341627905124	0.00132985431420095	72.66522487358	0
"projectpandas:typepr_reply:author_groupmember"	0.100389507306635	0.000955762203931428	105.036071622934	0
"projectscikit-image:typepr_reply:author_groupmember"	0.126783655388751	0.00201125875828856	63.0369686974715	0
"projectscikit-learn:typepr_reply:author_groupmember"	0.102179747487066	0.000927537536371618	110.162385327043	0
"projectscipy:typepr_reply:author_groupmember"	0.123298881800643	0.00154404193951991	79.8546196478186	0
"projectsphinx-gallery:typepr_reply:author_groupmember"	0.0732297239650601	0.00568035422296348	12.8917530651558	0.0000000000000000000000000000000000000507862322071786
"projectmatplotlib:typeissue_post:author_groupnonmember"	0.065032462852494	0.00397602779125	16.3561389071802	0.00000000000000000000000000000000000000000000000000000000000407497358836544
"projectmayavi:typeissue_post:author_groupnonmember"	0.151355584943276	0.0116808997387981	12.9575279582744	0.0000000000000000000000000000000000000216014371425833
"projectnumpy:typeissue_post:author_groupnonmember"	0.0544769045419017	0.00436542437451213	12.4791772502049	0.00000000000000000000000000000000000981636401926526
