"t_stats" "p_value" "p_val_adjusted"
"issue_post:nonmember:sphinx-galleryTRUE:year2014-issue_post:nonmember:sphinx-galleryFALSE:year2014" 0.00847290512844777 0.993239680700318 0.993239680700318
"pr_post:nonmember:sphinx-galleryTRUE:year2014-pr_post:nonmember:sphinx-galleryFALSE:year2014" 0.167363468001996 0.867084068020158 0.947720190257716
"issue_reply:nonmember:sphinx-galleryTRUE:year2014-issue_reply:nonmember:sphinx-galleryFALSE:year2014" -0.800790600625811 0.423252881395357 0.692456968670752
"pr_reply:nonmember:sphinx-galleryTRUE:year2014-pr_reply:nonmember:sphinx-galleryFALSE:year2014" -0.692223341172868 0.488797082728736 0.751387101282038
"issue_post:member:sphinx-galleryTRUE:year2015-issue_post:member:sphinx-galleryFALSE:year2015" 0.0987954799019028 0.921300657452451 0.958089063044788
"pr_post:member:sphinx-galleryTRUE:year2015-pr_post:member:sphinx-galleryFALSE:year2015" 0.214064277955679 0.830496932149006 0.937021479265506
"issue_reply:member:sphinx-galleryTRUE:year2015-issue_reply:member:sphinx-galleryFALSE:year2015" -0.584965613567884 0.558570838387804 0.800507996312817
"pr_reply:member:sphinx-galleryTRUE:year2015-pr_reply:member:sphinx-galleryFALSE:year2015" -2.49052346723063 0.0127555071888095 0.058823940919267
"issue_post:nonmember:sphinx-galleryTRUE:year2015-issue_post:nonmember:sphinx-galleryFALSE:year2015" -1.1041955891148 0.269508302639652 0.533401848974311
"pr_post:nonmember:sphinx-galleryTRUE:year2015-pr_post:nonmember:sphinx-galleryFALSE:year2015" 0.880152503488154 0.378776699696088 0.649526831608815
"issue_reply:nonmember:sphinx-galleryTRUE:year2015-issue_reply:nonmember:sphinx-galleryFALSE:year2015" -2.52160230962356 0.0116821698352989 0.0549408977402671
"pr_reply:nonmember:sphinx-galleryTRUE:year2015-pr_reply:nonmember:sphinx-galleryFALSE:year2015" -2.89918901845928 0.0037412927497289 0.0219396797052003
"issue_post:member:sphinx-galleryTRUE:year2016-issue_post:member:sphinx-galleryFALSE:year2016" -0.31890448173369 0.749798945701152 0.897114607576945
"pr_post:member:sphinx-galleryTRUE:year2016-pr_post:member:sphinx-galleryFALSE:year2016" 0.324740524931458 0.745377460995465 0.894076499931429
"issue_reply:member:sphinx-galleryTRUE:year2016-issue_reply:member:sphinx-galleryFALSE:year2016" -0.940472406626355 0.346975297002403 0.629058267466188
"pr_reply:member:sphinx-galleryTRUE:year2016-pr_reply:member:sphinx-galleryFALSE:year2016" -1.40421576201696 0.160254609622147 0.392375977167628
"issue_post:nonmember:sphinx-galleryTRUE:year2016-issue_post:nonmember:sphinx-galleryFALSE:year2016" 1.94514645203365 0.0517573544846108 0.173131995635142
"pr_post:nonmember:sphinx-galleryTRUE:year2016-pr_post:nonmember:sphinx-galleryFALSE:year2016" -0.401790101938043 0.687838507230239 0.861778598765701
"issue_reply:nonmember:sphinx-galleryTRUE:year2016-issue_reply:nonmember:sphinx-galleryFALSE:year2016" 0.492797046369719 0.622155997920098 0.834813839017081
"pr_reply:nonmember:sphinx-galleryTRUE:year2016-pr_reply:nonmember:sphinx-galleryFALSE:year2016" -1.80736611440963 0.0707052137290185 0.213917047906266
"issue_post:member:sphinx-galleryTRUE:year2017-issue_post:member:sphinx-galleryFALSE:year2017" 0.0146427035284041 0.988317230409134 0.990402287857255
"pr_post:member:sphinx-galleryTRUE:year2017-pr_post:member:sphinx-galleryFALSE:year2017" 0.0644323894982936 0.948625940509548 0.968682136207845
"issue_reply:member:sphinx-galleryTRUE:year2017-issue_reply:member:sphinx-galleryFALSE:year2017" -0.918823256869698 0.358188025791691 0.637641741795853
"pr_reply:member:sphinx-galleryTRUE:year2017-pr_reply:member:sphinx-galleryFALSE:year2017" -3.28676642669766 0.00101344855364238 0.00789160758983822
"issue_post:nonmember:sphinx-galleryTRUE:year2017-issue_post:nonmember:sphinx-galleryFALSE:year2017" 3.11816998498716 0.00181977813901524 0.0125274582033658
"pr_post:nonmember:sphinx-galleryTRUE:year2017-pr_post:nonmember:sphinx-galleryFALSE:year2017" 1.21494799194668 0.224385927934339 0.473639389537673
"issue_reply:nonmember:sphinx-galleryTRUE:year2017-issue_reply:nonmember:sphinx-galleryFALSE:year2017" 1.90849518992368 0.0563272442693836 0.182009802911274
"pr_reply:nonmember:sphinx-galleryTRUE:year2017-pr_reply:nonmember:sphinx-galleryFALSE:year2017" -1.50202310588108 0.133091141636664 0.347353254271514
"issue_post:member:sphinx-galleryTRUE:year2018-issue_post:member:sphinx-galleryFALSE:year2018" 0.18280784072621 0.854948796277621 0.940397685209042
"pr_post:member:sphinx-galleryTRUE:year2018-pr_post:member:sphinx-galleryFALSE:year2018" -0.117534686757671 0.906436358465068 0.952560332457759
"issue_reply:member:sphinx-galleryTRUE:year2018-issue_reply:member:sphinx-galleryFALSE:year2018" 0.632757920851452 0.526891739466814 0.785058094728618
"pr_reply:member:sphinx-galleryTRUE:year2018-pr_reply:member:sphinx-galleryFALSE:year2018" -0.731079104282444 0.46473083676924 0.735233682418068
"issue_post:nonmember:sphinx-galleryTRUE:year2018-issue_post:nonmember:sphinx-galleryFALSE:year2018" 0.291822996744712 0.770421961328206 0.903581312668884
"pr_post:nonmember:sphinx-galleryTRUE:year2018-pr_post:nonmember:sphinx-galleryFALSE:year2018" -0.016136534042062 0.987125467353784 0.990402287857255
"issue_reply:nonmember:sphinx-galleryTRUE:year2018-issue_reply:nonmember:sphinx-galleryFALSE:year2018" 3.31598265411277 0.000913214968039755 0.0076921847357224
"pr_reply:nonmember:sphinx-galleryTRUE:year2018-pr_reply:nonmember:sphinx-galleryFALSE:year2018" 0.06976721203178 0.94437894457176 0.968682136207845
"issue_post:nonmember:mayaviTRUE:year2011-issue_post:nonmember:mayaviFALSE:year2011" 1.10709840628451 0.268251384521269 0.533135596851894
"pr_post:nonmember:mayaviTRUE:year2011-pr_post:nonmember:mayaviFALSE:year2011" 0.188471779311673 0.850506835921796 0.940397685209042
"issue_reply:nonmember:mayaviTRUE:year2011-issue_reply:nonmember:mayaviFALSE:year2011" -1.33356398886727 0.182346791422735 0.422236225596125
"pr_reply:nonmember:mayaviTRUE:year2011-pr_reply:nonmember:mayaviFALSE:year2011" 1.78660344183478 0.0740016050349401 0.220460657025556
"issue_post:nonmember:mayaviTRUE:year2012-issue_post:nonmember:mayaviFALSE:year2012" 0.527584351108303 0.597787856763986 0.823041252066358
"pr_post:nonmember:mayaviTRUE:year2012-pr_post:nonmember:mayaviFALSE:year2012" 1.27646585336724 0.201790890115389 0.443753114837082
"issue_reply:nonmember:mayaviTRUE:year2012-issue_reply:nonmember:mayaviFALSE:year2012" -1.99984261044794 0.0455172617995103 0.15897573054976
"pr_reply:nonmember:mayaviTRUE:year2012-pr_reply:nonmember:mayaviFALSE:year2012" 2.87359796732529 0.00405825192826947 0.0232249357340723
"issue_post:nonmember:mayaviTRUE:year2013-issue_post:nonmember:mayaviFALSE:year2013" 0.560329841405149 0.57525447643492 0.812448032373332
"pr_post:nonmember:mayaviTRUE:year2013-pr_post:nonmember:mayaviFALSE:year2013" -0.279603857137151 0.779781447526365 0.910064342936175
"issue_reply:nonmember:mayaviTRUE:year2013-issue_reply:nonmember:mayaviFALSE:year2013" -0.27041608626529 0.786840165893075 0.913821664228526
"pr_reply:nonmember:mayaviTRUE:year2013-pr_reply:nonmember:mayaviFALSE:year2013" 3.10247996902248 0.00191906534792152 0.0128388174684891
"pr_post:member:mayaviTRUE:year2014-pr_post:member:mayaviFALSE:year2014" -1.95953339307343 0.050050353139713 0.169813698152598
"issue_reply:member:mayaviTRUE:year2014-issue_reply:member:mayaviFALSE:year2014" -3.05722216252408 0.00223398634785599 0.0141485802030879
"pr_reply:member:mayaviTRUE:year2014-pr_reply:member:mayaviFALSE:year2014" 2.11366642878518 0.0345437677618852 0.129295358038179
"issue_post:nonmember:mayaviTRUE:year2014-issue_post:nonmember:mayaviFALSE:year2014" 2.47788819891151 0.0132162550671937 0.0603627034318943
"pr_post:nonmember:mayaviTRUE:year2014-pr_post:nonmember:mayaviFALSE:year2014" 0.475732170518635 0.634265198727139 0.842511676073787
"issue_reply:nonmember:mayaviTRUE:year2014-issue_reply:nonmember:mayaviFALSE:year2014" -0.127889975618597 0.898236044198058 0.952560332457759
"pr_reply:nonmember:mayaviTRUE:year2014-pr_reply:nonmember:mayaviFALSE:year2014" -0.0849742517234632 0.932281860803597 0.961883342979621
"issue_post:member:mayaviTRUE:year2015-issue_post:member:mayaviFALSE:year2015" 0.679647153990659 0.496727904795613 0.761115337993277
"pr_post:member:mayaviTRUE:year2015-pr_post:member:mayaviFALSE:year2015" 0.100451605174549 0.919985801904762 0.958089063044788
"issue_reply:member:mayaviTRUE:year2015-issue_reply:member:mayaviFALSE:year2015" 0.903093636433309 0.366476201074248 0.637641741795853
"pr_reply:member:mayaviTRUE:year2015-pr_reply:member:mayaviFALSE:year2015" 0.51004661293806 0.610018805915931 0.826024815536587
"issue_post:nonmember:mayaviTRUE:year2015-issue_post:nonmember:mayaviFALSE:year2015" 3.62118529217735 0.00029325638148836 0.00296376130227598
"pr_post:nonmember:mayaviTRUE:year2015-pr_post:nonmember:mayaviFALSE:year2015" -0.48080864924461 0.630652502453462 0.842511676073787
"issue_reply:nonmember:mayaviTRUE:year2015-issue_reply:nonmember:mayaviFALSE:year2015" -0.097709378765291 0.92216306801897 0.958089063044788
"pr_reply:nonmember:mayaviTRUE:year2015-pr_reply:nonmember:mayaviFALSE:year2015" 0.584825642745163 0.558664960329218 0.800507996312817
"issue_post:member:mayaviTRUE:year2016-issue_post:member:mayaviFALSE:year2016" 0.880415850251288 0.378634073073401 0.649526831608815
"pr_post:member:mayaviTRUE:year2016-pr_post:member:mayaviFALSE:year2016" 1.5472853509994 0.121794452549775 0.326400611476022
