"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"typeissue_post:author_groupmember"	0.017424335374563	0.00790345026469118	8.77746693705135	2.20464920901781	0.0556593582233907
"typepr_post:author_groupmember"	0.0155388590164302	0.00779066347868707	8.2871006577208	1.99454886723574	0.0799603276539693
"typeissue_reply:author_groupmember"	0.0466663993754458	0.00767395641157591	7.80147451331779	6.08113948954038	0.000326738421982362
"typepr_reply:author_groupmember"	0.103816321264982	0.00766520712035024	7.76589930540069	13.543837711751	0.00000111607374237905
"typeissue_post:author_groupnonmember"	0.0705905751905143	0.00780999095849251	8.37001343505773	9.03849640360401	0.00001337840514788
"typepr_post:author_groupnonmember"	0.0249286534063284	0.00787480835335042	8.65096166772097	3.16562032848993	0.0120262703584178
"typeissue_reply:author_groupnonmember"	0.130943955913209	0.00770609212913301	7.93336509408864	16.9922645251246	0.000000160098558755075
"typepr_reply:author_groupnonmember"	0.131104721563214	0.00770764054306148	7.93938858764669	17.0097088506854	0.000000157514615134668
