"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typepr_post:author_groupnonmember:year2011"	0.18337210573641	0.0641767360779098	490587.316029322	2.85729871824267	0.00427281489482458
"projectscikit-image:typepr_post:author_groupnonmember:year2011"	0.177739715829157	0.0612822064074933	441922.14314862	2.90034785378458	0.00372767113195155
"projectscikit-learn:typepr_post:author_groupnonmember:year2011"	0.158635533615925	0.0372082990511254	451471.688296465	4.26344492119768	0.0000201339944565582
"projectscipy:typepr_post:author_groupnonmember:year2011"	0.186361202770385	0.0436968456871305	498185.212957526	4.26486625841901	0.0000200058772071256
"projectmatplotlib:typeissue_reply:author_groupnonmember:year2011"	0.197744217456205	0.0357923599588591	414740.433388098	5.52476052664587	0.0000000330132638576625
"projectmayavi:typeissue_reply:author_groupnonmember:year2011"	0.0412226168067792	0.0657259637003238	310890.46340693	0.627189233690553	0.530535660287576
"projectpandas:typeissue_reply:author_groupnonmember:year2011"	0.218329241287579	0.0348582344676244	202244.274181383	6.26334766008758	0.000000000377552870877381
"projectscikit-image:typeissue_reply:author_groupnonmember:year2011"	0.156449734696949	0.0985837455158316	499257.783472476	1.58697292214186	0.112519410773727
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2011"	0.215839598935972	0.0338095816573199	125275.668612886	6.38397721461432	0.000000000173147402587285
"projectmatplotlib:typepr_reply:author_groupnonmember:year2011"	0.257044676686889	0.0330963345881667	426519.139641931	7.76656025162353	0.00000000000000808240549550785
"projectmayavi:typepr_reply:author_groupnonmember:year2011"	0.396258970878105	0.144027400444906	272968.387754868	2.75127489390245	0.00593677177004441
"projectnumpy:typepr_reply:author_groupnonmember:year2011"	0.301612850968605	0.0362153014151669	359935.819593497	8.32832640300185	0.0000000000000000822754715993379
"projectpandas:typepr_reply:author_groupnonmember:year2011"	0.396309172444834	0.0835223403229818	506924.556074013	4.74494812899522	0.00000208616472484071
"projectscikit-image:typepr_reply:author_groupnonmember:year2011"	0.349346586089018	0.0504238820645009	469756.430953003	6.92819695322433	0.00000000000426782597870559
"projectscikit-learn:typepr_reply:author_groupnonmember:year2011"	0.275736225762017	0.0215678758137237	292299.058482849	12.7845796286793	0.000000000000000000000000000000000000204617165415857
"projectscipy:typepr_reply:author_groupnonmember:year2011"	0.300714901426041	0.0259039776061219	397894.624390464	11.6088311223282	0.00000000000000000000000000000037598916882754
"projectmatplotlib:typeissue_post:author_groupmember:year2012"	-0.045228512848586	0.0388577216479251	500968.314451708	-1.16395174319236	0.244444122952307
"projectnumpy:typeissue_post:author_groupmember:year2012"	-0.0368863406421555	0.0251506185932946	497646.385365948	-1.46661763031108	0.142480733178411
"projectpandas:typeissue_post:author_groupmember:year2012"	0.0422422623872093	0.0148637458645563	434235.545714	2.84196613506015	0.00448383425556515
"projectscikit-image:typeissue_post:author_groupmember:year2012"	-0.143460520834289	0.0903462506051751	493004.90942354	-1.58789678457416	0.11231032200013
"projectscikit-learn:typeissue_post:author_groupmember:year2012"	0.082785625623105	0.0241157779813989	507422.03116088	3.43284076039179	0.000597340420863733
"projectmatplotlib:typepr_post:author_groupmember:year2012"	0.119454036068664	0.0205034465652712	506697.119210356	5.82604664481121	0.00000000567899085492258
"projectnumpy:typepr_post:author_groupmember:year2012"	0.000139493971042919	0.0293181093962394	506064.797365064	0.00475794564914242	0.996203724824217
"projectpandas:typepr_post:author_groupmember:year2012"	0.0428317829374446	0.0246216078646199	507555.0122042	1.73960137668312	0.0819296435488238
"projectscikit-image:typepr_post:author_groupmember:year2012"	0.0441740948976843	0.0322349465751376	506875.495633091	1.37037903241804	0.170569220724769
"projectscikit-learn:typepr_post:author_groupmember:year2012"	0.153619731457007	0.0227879582804405	507645.747651951	6.74126789098356	0.0000000000157177135554403
"projectscipy:typepr_post:author_groupmember:year2012"	0.103683852071292	0.0352409244746187	501395.651420542	2.94214336363303	0.0032596389972527
"projectmatplotlib:typeissue_reply:author_groupmember:year2012"	0.164827066047582	0.0137026363876547	455265.67657497	12.0288579062115	0.00000000000000000000000000000000253540615849111
"projectmayavi:typeissue_reply:author_groupmember:year2012"	0.600736287417221	0.414803745083242	495104.271052138	1.44824219775708	0.147549960166547
"projectnumpy:typeissue_reply:author_groupmember:year2012"	0.0945444482515612	0.0194860204439828	463527.602079114	4.85191158057911	0.00000122316747746234
