"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typeissue_post:author_groupmember:year2010"	0.124872805313621	0.1685192839202	491221.833682137	0.741000094521839	0.458693737216424
"projectscikit-learn:typeissue_post:author_groupmember:year2010"	-0.0173820150744614	0.291770348238529	490903.614692935	-0.0595743028015007	0.952494709650629
"projectpandas:typeissue_reply:author_groupmember:year2010"	0.0766394719802876	0.084782902353711	492935.104487927	0.9039496154608	0.366022560351786
"projectscikit-learn:typeissue_reply:author_groupmember:year2010"	-0.0173820150744614	0.412277055142613	490763.323381921	-0.0421610052212308	0.966370365379267
"projectscikit-learn:typepr_reply:author_groupmember:year2010"	0.303401318258872	0.169021635855723	491454.902685575	1.79504426591786	0.0726472617269945
"projectpandas:typeissue_post:author_groupnonmember:year2010"	-0.0102653640186295	0.0979138192338991	365624.75630334	-0.104840808978223	0.916502185093509
"projectscikit-learn:typeissue_post:author_groupnonmember:year2010"	-0.0142632975139633	0.125203090809558	495068.804223386	-0.113921289176948	0.90930023530523
"projectnumpy:typepr_post:author_groupnonmember:year2010"	0.158071374461431	0.0764141664109	507311.819200394	2.06861347687074	0.0385828776619349
"projectscikit-learn:typepr_post:author_groupnonmember:year2010"	0.0624651630522101	0.087049242411225	506765.29490538	0.71758422384794	0.473014018655109
"projectpandas:typeissue_reply:author_groupnonmember:year2010"	0.106665549324822	0.125117022135389	176359.502323679	0.852526279033396	0.393923217615769
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2010"	-0.148548573519588	0.16869242627294	491796.773743562	-0.880588280111879	0.378541134589298
"projectnumpy:typepr_reply:author_groupnonmember:year2010"	0.165830740933099	0.0436479632872541	499058.590314503	3.79927786874592	0.000145135514750356
"projectscikit-learn:typepr_reply:author_groupnonmember:year2010"	0.244926527464885	0.0373972453313778	503969.415881272	6.54932001794747	0.0000000000578548653697617
"projectmatplotlib:typeissue_post:author_groupmember:year2011"	0.178892892141919	0.0463011954060639	318763.792529203	3.86367761292163	0.000111714693889506
"projectpandas:typeissue_post:author_groupmember:year2011"	0.0257826172751162	0.0251786934725914	507184.793151424	1.02398550993848	0.305842607423577
"projectscikit-image:typeissue_post:author_groupmember:year2011"	0.129432096641877	0.291400465129354	490764.877373056	0.444172580796744	0.656918010282491
"projectscikit-learn:typeissue_post:author_groupmember:year2011"	0.0586880624523611	0.0467038063297393	497109.30431088	1.25660127223915	0.208898644305494
"projectmatplotlib:typepr_post:author_groupmember:year2011"	0.0426076195004099	0.0341766558985847	502665.709737932	1.24668778674084	0.21251257969492
"projectnumpy:typepr_post:author_groupmember:year2011"	0.100164261966145	0.0573948631410267	499729.714715361	1.74517816550983	0.080954475339951
"projectpandas:typepr_post:author_groupmember:year2011"	0.0201583982223785	0.120037781984587	493072.563838291	0.167933777924744	0.866635445407812
"projectscikit-image:typepr_post:author_groupmember:year2011"	0.100744716018727	0.0950375235670577	492269.316482323	1.06005199038717	0.289121467613517
"projectscikit-learn:typepr_post:author_groupmember:year2011"	0.308853954377725	0.0366472321636564	499211.589938343	8.42775664471655	0.0000000000000000353271078087946
"projectscipy:typepr_post:author_groupmember:year2011"	0.0684744304730809	0.114450857508942	491456.348683337	0.598286740383149	0.549648898228169
"projectmatplotlib:typeissue_reply:author_groupmember:year2011"	0.0880437910761753	0.0291218441898742	506546.572806792	3.02329036932313	0.00250054700504395
"projectpandas:typeissue_reply:author_groupmember:year2011"	0.187652252374537	0.0219287184704861	507438.888959997	8.55737432294996	0.0000000000000000115780874927103
"projectscikit-image:typeissue_reply:author_groupmember:year2011"	0.401113593460177	0.11036122906813	491702.502525068	3.63455170667368	0.000278492769307356
"projectscikit-learn:typeissue_reply:author_groupmember:year2011"	0.187558580643557	0.0188623803729581	507300.63090313	9.94352658227849	0.0000000000000000000000270452831120727
"projectmatplotlib:typepr_reply:author_groupmember:year2011"	0.216489776058181	0.0226401700984773	507525.757922162	9.56219741797531	0.00000000000000000000115768586974549
"projectnumpy:typepr_reply:author_groupmember:year2011"	0.227177139344675	0.0229582656665409	507687.561826443	9.89522216722844	0.0000000000000000000000438747976509566
"projectpandas:typepr_reply:author_groupmember:year2011"	0.342309877779823	0.040451931781361	499679.722458368	8.46213920338777	0.0000000000000000263209917933875
"projectscikit-image:typepr_reply:author_groupmember:year2011"	0.377976305904551	0.067315177160017	494110.092656663	5.61502356305252	0.0000000196640523024374
"projectscikit-learn:typepr_reply:author_groupmember:year2011"	0.27977384254197	0.0108941554047112	420284.553098214	25.6810952431412	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000246378902512954
"projectscipy:typepr_reply:author_groupmember:year2011"	0.261967513898145	0.0312960700597949	499885.011710719	8.37062012570987	0.0000000000000000574606865049442
