"ticket_family" "open_time" "comment_grateful_cumulative" "comment_sentiment_max_negative" "number_of_comments" "comment_member_ratio" "comment_sentiment_mean" "ticket_family_open_time" "ticket_family_comment_sentiment_max_negative" "ticket_family_number_of_comments" "ticket_family_comment_member_ratio" "ticket_family_comment_sentiment_mean" "ticket_family_comment_grateful_cumulative"
"matplotlib" 0.0323909900862396 0.021843286191556 0.0288193846002496 0.0133899081306184 0.0131410115022506 0.032311348756442 0.0281286116838104 0.0353851426169374 0.026815973319235 0.0264829834603848 0.0479917046435895 0.0321892949018545 0.0334340153443851
"mayavi" -0.136841985790256 -0.207663880248948 -0.173837621044013 -0.175987249203028 -0.145911502207401 -0.27755856794058 -0.16960023821219 -0.175908955475939 -0.106175032549225 -0.0903490831890914 -0.183042585049342 -0.106246765127997 -0.106650209428829
"numpy" -0.22703952250858 -0.236510456546941 -0.219305744582193 -0.23684664647102 -0.233411599548511 -0.232628991436109 -0.225345105320589 -0.235910208522056 -0.227605187920319 -0.227455294027468 -0.223633964344339 -0.220611087961852 -0.224414375111645
"pandas" 0.230507838735649 0.198859573884519 0.224251487408546 0.213707065841362 0.223931357493206 0.2258017226904 0.216793910058375 0.232784298321032 0.237660958413604 0.243341046712181 0.234225761191033 0.234492934231858 0.2388139757573
"scikit-image" 0.061760747012387 0.110911904738353 0.0568255066245658 0.095037032664705 0.0712064477128144 0.104008441222763 0.0739773456701932 0.0658649122932256 0.0520419961861408 0.0330957714764106 0.0553340400492237 0.0445337622866393 0.0355690276365045
"scikit-learn" -0.0300169946084132 0.0286316289711893 0.0261241697980971 0.0332317383431216 0.0219329716283865 0.0605929871229145 0.0349869916387103 -0.020203455867832 -0.0234128550612006 -0.0291062306974967 0.0154456069203156 -0.0202255423003599 -0.0214505824122637
"scipy" -0.209737056764102 -0.205224752404013 -0.189404016802449 -0.193068409192628 -0.187933740028674 -0.190198543115726 -0.190335454383877 -0.20729840378833 -0.201685077292292 -0.198657349075542 -0.196981224934616 -0.195110314435167 -0.200910170716204
"sphinx-gallery" 0.283132704793966 0.289152695413634 0.246526833986315 0.250536559889456 0.237045053447825 0.277671602692153 0.231393938865881 0.305286670423011 0.242359224903249 0.242648155340905 0.250660661531767 0.230977718405354 0.245608318933627
