"Estimate"	"Std..Error"	"t.value"	"Pr...t.."
"projectmatplotlib:typeissue_post:author_groupmember"	0.0348275970541665	0.00566157089854788	6.15157836548498	0.000000000767725531319161
"projectmayavi:typeissue_post:author_groupmember"	0	0.0262346604044719	0	1
"projectnumpy:typeissue_post:author_groupmember"	0.0179223415957491	0.00530170475642465	3.38048654520618	0.000723630654276808
"projectpandas:typeissue_post:author_groupmember"	0.00718570188986424	0.00288421675215561	2.49138761311673	0.0127248383824546
"projectscikit-image:typeissue_post:author_groupmember"	0.00720527214719278	0.0101500727925386	0.709873938292288	0.47778263920788
"projectscikit-learn:typeissue_post:author_groupmember"	0.00654562446850843	0.00496281066505499	1.31893495647509	0.18719145339019
"projectscipy:typeissue_post:author_groupmember"	0.00768030116963928	0.00828462960141216	0.927054260618982	0.353898803340479
"projectsphinx-gallery:typeissue_post:author_groupmember"	0	0.0276111831498464	0	1
"projectmatplotlib:typepr_post:author_groupmember"	0.0125426632672752	0.00307228884030049	4.08251434655097	0.0000445578727351452
"projectmayavi:typepr_post:author_groupmember"	0.0274126003611278	0.0167322776251148	1.63830656981104	0.101358377633063
"projectnumpy:typepr_post:author_groupmember"	0.0064913266306922	0.00366312755143633	1.77207223596321	0.0763831667256588
"projectpandas:typepr_post:author_groupmember"	0.00448312340784878	0.00275688021837294	1.62615821245024	0.103916623804345
"projectscikit-image:typepr_post:author_groupmember"	0.00891840185963327	0.00620033616488573	1.43837392400443	0.150328603701901
"projectscikit-learn:typepr_post:author_groupmember"	0.0154152936717866	0.0041069158026495	3.75349639791538	0.000174404453034682
"projectscipy:typepr_post:author_groupmember"	0.00917018874787918	0.00448548583084896	2.04441371429849	0.0409132083695438
"projectsphinx-gallery:typepr_post:author_groupmember"	0.0000000000000000434273393286055	0.0186808882661814	0.00000000000000232469348940026	0.999999999999998
"projectmatplotlib:typeissue_reply:author_groupmember"	0.0326781103362903	0.00157000290956078	20.8140444436706	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035432201798877
"projectmayavi:typeissue_reply:author_groupmember"	0.0877827213505089	0.00918803507482273	9.55402549464066	0.00000000000000000000125276530388403
"projectnumpy:typeissue_reply:author_groupmember"	0.0294450487638734	0.00157392223991314	18.7080708418596	0.00000000000000000000000000000000000000000000000000000000000000000000000000000452102783174499
"projectpandas:typeissue_reply:author_groupmember"	0.0397281158765456	0.00101537676630189	39.1264771807214	0
"projectscikit-image:typeissue_reply:author_groupmember"	0.0652415036973428	0.00310287736224739	21.026130291559	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000416655785958721
"projectscikit-learn:typeissue_reply:author_groupmember"	0.0520820828167135	0.00137195860618686	37.9618470862378	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000683860982465656
"projectscipy:typeissue_reply:author_groupmember"	0.0431860655669202	0.00210401602747572	20.5255402064273	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000139023119147435
"projectsphinx-gallery:typeissue_reply:author_groupmember"	0.0247199422453618	0.00840780607257152	2.94011803221827	0.00328102027935686
"projectmatplotlib:typepr_reply:author_groupmember"	0.0649217651113564	0.00127070064635239	51.0913135188193	0
"projectmayavi:typepr_reply:author_groupmember"	0.236591976404213	0.0113158247418586	20.9080629827211	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000497036206357802
"projectnumpy:typepr_reply:author_groupmember"	0.0976720018681742	0.00135013447338394	72.3424249907283	0
"projectpandas:typepr_reply:author_groupmember"	0.10081702112901	0.000969284006312901	104.011848408097	0
"projectscikit-image:typepr_reply:author_groupmember"	0.127802781156689	0.00205529505648731	62.1822062741278	0
"projectscikit-learn:typepr_reply:author_groupmember"	0.101233970081461	0.00094727010761506	106.869169910088	0
"projectscipy:typepr_reply:author_groupmember"	0.123778862933266	0.00158638212961814	78.0258807901859	0
"projectsphinx-gallery:typepr_reply:author_groupmember"	0.0714211166610073	0.00587032643515745	12.1664642417951	0.000000000000000000000000000000000474115636277122
"projectmatplotlib:typeissue_post:author_groupnonmember"	0.0634335188291391	0.00389106685161429	16.3023461811822	0.0000000000000000000000000000000000000000000000000000000000098361645458619
"projectmayavi:typeissue_post:author_groupnonmember"	0.14929912319133	0.0116042689472843	12.8658792612929	0.0000000000000000000000000000000000000710032221614387
"projectnumpy:typeissue_post:author_groupnonmember"	0.0528741750242316	0.00428093221710652	12.3510890485365	0.0000000000000000000000000000000000486175453861231
"projectpandas:typeissue_post:author_groupnonmember"	0.0505152009697983	0.00265424197559098	19.0318748005448	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000991008515816443
"projectscikit-image:typeissue_post:author_groupnonmember"	0.0757709764585289	0.00845619672293232	8.9604084366966	0.00000000000000000032453194950688
"projectscikit-learn:typeissue_post:author_groupnonmember"	0.0942964436270234	0.00393951025899391	23.9360827685991	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151721875339582
"projectscipy:typeissue_post:author_groupnonmember"	0.0731276717715114	0.00482905584588727	15.1432648752223	0.000000000000000000000000000000000000000000000000000861619560349126
"projectsphinx-gallery:typeissue_post:author_groupnonmember"	0.066542129333846	0.0199107073246031	3.34202739506004	0.00083174853395473
"projectmatplotlib:typepr_post:author_groupnonmember"	0.0201044539548373	0.00481773330780854	4.17301097224542	0.0000300650411037354
"projectmayavi:typepr_post:author_groupnonmember"	0.0184021375369897	0.0209412438183924	0.878750932684685	0.379536752002777
"projectnumpy:typepr_post:author_groupnonmember"	0.0128814987894392	0.00516022345543413	2.49630639073855	0.0125497299786215
"projectpandas:typepr_post:author_groupnonmember"	0.017866898167455	0.00364589152594719	4.90055670617167	0.000000955948415301779
"projectscikit-image:typepr_post:author_groupnonmember"	0.023987597163802	0.00780242302114548	3.07437793346923	0.00210953214495766
"projectscikit-learn:typepr_post:author_groupnonmember"	0.0228030495823464	0.00375954890997366	6.0653685131885	0.00000000131743933283026
"projectscipy:typepr_post:author_groupnonmember"	0.0292619535886619	0.0052009054715693	5.62631906090624	0.0000000184192237549625
"projectsphinx-gallery:typepr_post:author_groupnonmember"	0.0180038228717541	0.0253685901688231	0.709689531501043	0.477897011273407
"projectmatplotlib:typeissue_reply:author_groupnonmember"	0.12860284751302	0.002373014319928	54.1938775645154	0
"projectmayavi:typeissue_reply:author_groupnonmember"	0.15720962585717	0.00753847419577611	20.854303108878	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000152970459959362
"projectnumpy:typeissue_reply:author_groupnonmember"	0.120494629397817	0.00253422741968083	47.5468888317026	0
"projectpandas:typeissue_reply:author_groupnonmember"	0.130669037125198	0.00173185044737751	75.4505317263774	0
"projectscikit-image:typeissue_reply:author_groupnonmember"	0.119485587774535	0.00486583167147245	24.5560462921599	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000446038092949236
"projectscikit-learn:typeissue_reply:author_groupnonmember"	0.119949179537982	0.00207981732969255	57.67293974597	0
"projectscipy:typeissue_reply:author_groupnonmember"	0.126202762431168	0.00298326670898806	42.3035466627711	0
"projectsphinx-gallery:typeissue_reply:author_groupnonmember"	0.105467802292551	0.0115262299385853	9.15024278142205	0.000000000000000000057006847647813
"projectmatplotlib:typepr_reply:author_groupnonmember"	0.11849400888813	0.00287434215535734	41.2247403000631	0
"projectmayavi:typepr_reply:author_groupnonmember"	0.139704082903555	0.0138589983181573	10.0803881850914	0.00000000000000000000000678097005263859
"projectnumpy:typepr_reply:author_groupnonmember"	0.102927861368596	0.00285771496430173	36.0175394167578	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101826970762632
"projectpandas:typepr_reply:author_groupnonmember"	0.135381088172985	0.00172684086586517	78.3981262252309	0
"projectscikit-image:typepr_reply:author_groupnonmember"	0.158740225342617	0.00369426946758461	42.969314159534	0
"projectscikit-learn:typepr_reply:author_groupnonmember"	0.125736355658568	0.00182233483572598	68.9973945476807	0
"projectscipy:typepr_reply:author_groupnonmember"	0.128455951663687	0.00275814959771349	46.5732358281715	0
"projectsphinx-gallery:typepr_reply:author_groupnonmember"	0.0756480425484204	0.0112148529675194	6.74534412243414	0.0000000000152827260280647
