"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectscikit-learn:typeissue_reply:author_groupmember:year2013"	0.119333989748741	0.0049932801754625	424570.222754994	23.8989172558674	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000381072655356506
"projectscipy:typeissue_reply:author_groupmember:year2013"	0.0992254112420165	0.00653110941941861	497393.691188471	15.1927344758602	0.000000000000000000000000000000000000000000000000000405901702743609
"projectmatplotlib:typepr_reply:author_groupmember:year2013"	0.147484105693216	0.00542395054130421	444367.344993519	27.1912703794221	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011209733785882
"projectnumpy:typepr_reply:author_groupmember:year2013"	0.127147946377964	0.00499338425624802	442518.442733737	25.4632809840078	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638380918761397
"projectpandas:typepr_reply:author_groupmember:year2013"	0.120732833385805	0.00370489703345403	271774.247357342	32.587365396562	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174631367530881
"projectscikit-image:typepr_reply:author_groupmember:year2013"	0.155133696700298	0.00690616759017094	480850.374635909	22.4630657560481	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108921176910314
"projectscikit-learn:typepr_reply:author_groupmember:year2013"	0.15722843286705	0.00403241937481801	313276.835343719	38.9910915141722	0
"projectscipy:typepr_reply:author_groupmember:year2013"	0.18399563038097	0.00526752735861785	458566.313293645	34.9301708096395	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000583183675460708
"projectmatplotlib:typeissue_post:author_groupnonmember:year2013"	0.0918219225863282	0.012530814282397	390236.415456606	7.32769000617282	0.000000000000234602424688672
"projectmayavi:typeissue_post:author_groupnonmember:year2013"	0.0922231543006073	0.042454814524225	414582.07798114	2.17226609830044	0.0298361622929505
"projectnumpy:typeissue_post:author_groupnonmember:year2013"	0.0804234924974042	0.0120844502133036	438768.301130706	6.65512216756599	0.0000000000283395535498843
"projectpandas:typeissue_post:author_groupnonmember:year2013"	0.0584752752201867	0.00847571743110013	327299.736115568	6.89915345757306	0.00000000000524077120325546
"projectscikit-image:typeissue_post:author_groupnonmember:year2013"	0.0842893546451545	0.028052904772835	482524.256841353	3.0046569268925	0.00265894207590219
"projectscikit-learn:typeissue_post:author_groupnonmember:year2013"	0.0846984196022559	0.0142746211059243	313621.879489044	5.93349686648454	0.00000000296859257698485
"projectscipy:typeissue_post:author_groupnonmember:year2013"	0.0670399278202113	0.0165433285250838	393206.198866329	4.052384483483	0.0000507079886105903
"projectmatplotlib:typepr_post:author_groupnonmember:year2013"	0.0585904344746049	0.0134007450140695	467621.43731424	4.37217739857677	0.0000123040008160393
"projectmayavi:typepr_post:author_groupnonmember:year2013"	0.0419418520008245	0.0660519865580515	491474.537935186	0.634982446197327	0.525440159255501
"projectnumpy:typepr_post:author_groupnonmember:year2013"	0.0590179781777038	0.01451661949784	486030.429109564	4.0655455759852	0.0000479277609045325
"projectpandas:typepr_post:author_groupnonmember:year2013"	0.0616894789812758	0.0126592540645089	491380.940858469	4.87307377408803	0.00000109909309603266
"projectscikit-image:typepr_post:author_groupnonmember:year2013"	0.0723656671344395	0.0211387866935382	496318.239249112	3.42335954203845	0.000618571988536006
"projectscikit-learn:typepr_post:author_groupnonmember:year2013"	0.0746787879617274	0.013551435345594	472042.317260571	5.51076591204105	0.0000000357461504262986
"projectscipy:typepr_post:author_groupnonmember:year2013"	0.05882970318006	0.014615656838668	479819.234728953	4.02511524657701	0.0000569561499094201
"projectmatplotlib:typeissue_reply:author_groupnonmember:year2013"	0.143649294425286	0.00997243756818546	342124.105600057	14.4046321115674	0.0000000000000000000000000000000000000000000000499497569281897
"projectmayavi:typeissue_reply:author_groupnonmember:year2013"	0.150492869603445	0.0307108346522347	474044.97345629	4.90031844811793	0.000000957129266345255
"projectnumpy:typeissue_reply:author_groupnonmember:year2013"	0.152023279851752	0.00843813862656576	348816.695689368	18.0162102780745	0.00000000000000000000000000000000000000000000000000000000000000000000000156833679460524
"projectpandas:typeissue_reply:author_groupnonmember:year2013"	0.176829911051612	0.00604225104435436	234160.510095389	29.2655683707209	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000622747445607747
