"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"typeissue_post:author_groupmember"	0.0185130679985495	0.0077341398532895	8.75550503062884	2.39368156637037	0.0410439355584489
"typepr_post:author_groupmember"	0.0156815839056898	0.0076286100830622	8.2873773795717	2.05562792369053	0.0726456253968417
"typeissue_reply:author_groupmember"	0.0477477886732982	0.00751679972890959	7.81198577162914	6.35214325182303	0.000243429939596211
"typepr_reply:author_groupmember"	0.10391344665616	0.00750801361820223	7.7754625796107	13.840338062818	0.00000093817232743236
"typeissue_post:author_groupnonmember"	0.0725996030014183	0.00766449065308595	8.44480111364066	9.47220190974954	0.00000877109854299207
"typepr_post:author_groupnonmember"	0.0258131841281904	0.00774582831298304	8.80856347877542	3.33252727599501	0.00903021357144424
"typeissue_reply:author_groupnonmember"	0.135005888502134	0.0075552307216735	7.97340154371746	17.8691946646772	0.000000102365609746158
"typepr_reply:author_groupnonmember"	0.135233517058135	0.00756155776685135	7.99973155360668	17.8843462191054	0.0000000979417642925915
