"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"typeissue_post:author_groupmember"	0.0194055896819305	0.00759751237187219	8.70983675584288	2.5542031038705	0.0317653169083783
"typepr_post:author_groupmember"	0.0162638806604708	0.0074988555020584	8.26620277601972	2.16884838706472	0.0608524914207647
"typeissue_reply:author_groupmember"	0.0489912909811012	0.00739129539915337	7.80193299767355	6.62824151050882	0.000184023812533701
"typepr_reply:author_groupmember"	0.104129654977588	0.00738262871978721	7.76532994598616	14.1046853268533	0.000000824041174821851
"typeissue_post:author_groupnonmember"	0.0747995679104536	0.00755123902263388	8.50004311060639	9.90560193979444	0.0000058977350748657
"typepr_post:author_groupnonmember"	0.0257950509300525	0.00765176422040638	8.96126211745401	3.37112464355084	0.00829306434357781
"typeissue_reply:author_groupnonmember"	0.139128286046966	0.00743706949440184	7.9974591401246	18.7074070171986	0.0000000690854235525999
"typepr_reply:author_groupnonmember"	0.139630688425352	0.00744959179197056	8.05101065600892	18.7434012929207	0.0000000629035274582882
