"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typeissue_post:author_groupmember:year2010"	0.0926706471985284	0.0638791299535404	489268.495301843	1.45071868176552	0.146858852296159
"projectscikit-learn:typeissue_post:author_groupmember:year2010"	-0.0069437779277176	0.0948090923941771	488838.380595718	-0.073239578107638	0.941615502129598
"projectnumpy:typepr_post:author_groupmember:year2010"	0.0312881700283641	0.0869005853351497	489186.205088324	0.360045561346854	0.7188132175377
"projectscikit-learn:typepr_post:author_groupmember:year2010"	-0.00694377792771761	0.149517284107126	488580.316535322	-0.0464413058943909	0.962958533650293
"projectpandas:typeissue_reply:author_groupmember:year2010"	0.0296572671476243	0.0402654978802398	490543.330355614	0.736542914130426	0.461400713467118
"projectscikit-learn:typeissue_reply:author_groupmember:year2010"	-0.00694377792771765	0.149517284107126	488580.316560889	-0.0464413058943912	0.962958533650293
"projectnumpy:typepr_reply:author_groupmember:year2010"	0.0464753634947778	0.0347119577988031	491856.327740829	1.3388862640407	0.180608320777445
"projectscikit-learn:typepr_reply:author_groupmember:year2010"	0.182096362224995	0.0458575164306791	490223.983009383	3.97091636003145	0.0000716069198258562
"projectpandas:typeissue_post:author_groupnonmember:year2010"	0.173997212067214	0.0618895681839315	285211.786462252	2.81141422008482	0.00493276051535817
"projectscikit-learn:typeissue_post:author_groupnonmember:year2010"	0.0932760589623182	0.0751979866482301	490755.945685367	1.24040633426339	0.214825732322201
"projectnumpy:typepr_post:author_groupnonmember:year2010"	0.122874946019018	0.044122424960811	504025.799823138	2.78486384481709	0.00535522012342598
"projectscikit-learn:typepr_post:author_groupnonmember:year2010"	0.0213552884355948	0.0471397524913056	507694.942700457	0.453020801064528	0.650533956800707
"projectpandas:typeissue_reply:author_groupnonmember:year2010"	0.131052235847804	0.0873791940089474	169666.861773556	1.4998105365264	0.133665347885223
