"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"typeissue_post:author_groupmember"	0.073723324717367	0.00958727059939268	11.7734576016748	7.68970938632285	0.0000063138779547565
"typepr_post:author_groupmember"	0.0688845229755731	0.00929353815823024	10.3943063849262	7.41208803393892	0.0000184169532370445
"typeissue_reply:author_groupmember"	0.168933625126654	0.00897464632934336	9.03852743916745	18.8234297962596	0.0000000146687353573746
"typepr_reply:author_groupmember"	0.212161083865866	0.00895182055800762	8.94623214701554	23.7003280495924	0.00000000220820063265367
"typeissue_post:author_groupnonmember"	0.0805170916368329	0.00892204895061355	8.85449316613405	9.02450682377122	0.00000931890243900785
"typepr_post:author_groupnonmember"	0.102043118854753	0.00924017948450536	10.1707682947094	11.0434130663659	0.000000547994015798996
"typeissue_reply:author_groupnonmember"	0.196501011433113	0.00860781796342605	7.67063007076421	22.828202486162	0.0000000249377051626927
"typepr_reply:author_groupnonmember"	0.214277743270011	0.00878265058987715	8.30073420909327	24.3978444863771	0.00000000507489741303147
