"t_stats" "p_value" "p_val_adjusted"
"issue_post:nonmember:sphinx-galleryTRUE:year2014-issue_post:nonmember:sphinx-galleryFALSE:year2014" -0.0359045046865615 0.971358503964623 0.980022321715424
"pr_post:nonmember:sphinx-galleryTRUE:year2014-pr_post:nonmember:sphinx-galleryFALSE:year2014" 0.172763956905276 0.862836969191656 0.942975752528977
"issue_reply:nonmember:sphinx-galleryTRUE:year2014-issue_reply:nonmember:sphinx-galleryFALSE:year2014" -0.897162841286039 0.369632030137248 0.645203029229926
"pr_reply:nonmember:sphinx-galleryTRUE:year2014-pr_reply:nonmember:sphinx-galleryFALSE:year2014" -0.698344190546934 0.484961969509777 0.741343138104118
"issue_post:member:sphinx-galleryTRUE:year2015-issue_post:member:sphinx-galleryFALSE:year2015" 0.204456407685357 0.837996854043214 0.931414504968573
"pr_post:member:sphinx-galleryTRUE:year2015-pr_post:member:sphinx-galleryFALSE:year2015" 0.182104920560604 0.855500387252988 0.93968005922525
"issue_reply:member:sphinx-galleryTRUE:year2015-issue_reply:member:sphinx-galleryFALSE:year2015" -0.865911888161896 0.386538483244784 0.662564734348203
"pr_reply:member:sphinx-galleryTRUE:year2015-pr_reply:member:sphinx-galleryFALSE:year2015" -2.68262497548073 0.00730468530616202 0.0385302082083271
"issue_post:nonmember:sphinx-galleryTRUE:year2015-issue_post:nonmember:sphinx-galleryFALSE:year2015" -1.33580950558439 0.181611545235218 0.423172532586917
"pr_post:nonmember:sphinx-galleryTRUE:year2015-pr_post:nonmember:sphinx-galleryFALSE:year2015" 0.965564258420565 0.334262267245859 0.623055317409356
"issue_reply:nonmember:sphinx-galleryTRUE:year2015-issue_reply:nonmember:sphinx-galleryFALSE:year2015" -2.10508239899763 0.0352841360754212 0.135491082529618
"pr_reply:nonmember:sphinx-galleryTRUE:year2015-pr_reply:nonmember:sphinx-galleryFALSE:year2015" -2.79695683544126 0.00515864246436215 0.0296661408429826
"issue_post:member:sphinx-galleryTRUE:year2016-issue_post:member:sphinx-galleryFALSE:year2016" -0.2840082045228 0.776404093133167 0.91703019737527
"pr_post:member:sphinx-galleryTRUE:year2016-pr_post:member:sphinx-galleryFALSE:year2016" 0.14119076278896 0.887719243201764 0.948206566909656
"issue_reply:member:sphinx-galleryTRUE:year2016-issue_reply:member:sphinx-galleryFALSE:year2016" -0.573926517172178 0.566017528046813 0.793493304058915
"pr_reply:member:sphinx-galleryTRUE:year2016-pr_reply:member:sphinx-galleryFALSE:year2016" -1.4929580879857 0.135448158258083 0.357225911889451
"issue_post:nonmember:sphinx-galleryTRUE:year2016-issue_post:nonmember:sphinx-galleryFALSE:year2016" 2.01671929848041 0.0437248148262097 0.156626202362542
"pr_post:nonmember:sphinx-galleryTRUE:year2016-pr_post:nonmember:sphinx-galleryFALSE:year2016" -0.243868891382138 0.807332362959769 0.919587092503619
"issue_reply:nonmember:sphinx-galleryTRUE:year2016-issue_reply:nonmember:sphinx-galleryFALSE:year2016" 0.236287431138824 0.813209639340458 0.920614686045801
"pr_reply:nonmember:sphinx-galleryTRUE:year2016-pr_reply:nonmember:sphinx-galleryFALSE:year2016" -1.75526457657546 0.0792140626435882 0.240650316891914
"issue_post:member:sphinx-galleryTRUE:year2017-issue_post:member:sphinx-galleryFALSE:year2017" 0.588959880143615 0.555888187198331 0.792332822830552
"pr_post:member:sphinx-galleryTRUE:year2017-pr_post:member:sphinx-galleryFALSE:year2017" 0.0738663338366556 0.94111674434716 0.967703155290213
"issue_reply:member:sphinx-galleryTRUE:year2017-issue_reply:member:sphinx-galleryFALSE:year2017" -0.788382508382816 0.430472999034359 0.709182277407506
"pr_reply:member:sphinx-galleryTRUE:year2017-pr_reply:member:sphinx-galleryFALSE:year2017" -3.60899827514173 0.000307381653272598 0.00295086387141694
"issue_post:nonmember:sphinx-galleryTRUE:year2017-issue_post:nonmember:sphinx-galleryFALSE:year2017" 2.65487066599537 0.00793388209525347 0.0409490688787276
"pr_post:nonmember:sphinx-galleryTRUE:year2017-pr_post:nonmember:sphinx-galleryFALSE:year2017" 1.23131575961566 0.218204789874666 0.471794140269549
"issue_reply:nonmember:sphinx-galleryTRUE:year2017-issue_reply:nonmember:sphinx-galleryFALSE:year2017" 2.23849993610816 0.0251884715771873 0.104976923514268
"pr_reply:nonmember:sphinx-galleryTRUE:year2017-pr_reply:nonmember:sphinx-galleryFALSE:year2017" -0.584676059467619 0.558765554583946 0.792332822830552
"issue_post:member:sphinx-galleryTRUE:year2018-issue_post:member:sphinx-galleryFALSE:year2018" 0.160797910388141 0.872252571089304 0.942975752528977
"pr_post:member:sphinx-galleryTRUE:year2018-pr_post:member:sphinx-galleryFALSE:year2018" -0.120648160910245 0.903969720540844 0.954398951328485
"issue_reply:member:sphinx-galleryTRUE:year2018-issue_reply:member:sphinx-galleryFALSE:year2018" 0.55818490219169 0.576718129375402 0.79628305103154
"pr_reply:member:sphinx-galleryTRUE:year2018-pr_reply:member:sphinx-galleryFALSE:year2018" -0.75683485991371 0.449148805144914 0.711655235613193
"issue_post:nonmember:sphinx-galleryTRUE:year2018-issue_post:nonmember:sphinx-galleryFALSE:year2018" 0.276853176381611 0.781892847519333 0.917712548938936
"pr_post:nonmember:sphinx-galleryTRUE:year2018-pr_post:nonmember:sphinx-galleryFALSE:year2018" -0.0490354927682892 0.960891010810636 0.973415621556283
"issue_reply:nonmember:sphinx-galleryTRUE:year2018-issue_reply:nonmember:sphinx-galleryFALSE:year2018" 3.23786278454393 0.00120428716124321 0.0097780244228538
"pr_reply:nonmember:sphinx-galleryTRUE:year2018-pr_reply:nonmember:sphinx-galleryFALSE:year2018" -0.071666199684716 0.942867555713859 0.967703155290213
"issue_post:nonmember:mayaviTRUE:year2011-issue_post:nonmember:mayaviFALSE:year2011" 1.04225026040598 0.297295666411419 0.594591332822838
"pr_post:nonmember:mayaviTRUE:year2011-pr_post:nonmember:mayaviFALSE:year2011" 0.167793492522461 0.86674574213179 0.942975752528977
"issue_reply:nonmember:mayaviTRUE:year2011-issue_reply:nonmember:mayaviFALSE:year2011" -1.77184339425686 0.0764205569718213 0.238193943808274
"pr_reply:nonmember:mayaviTRUE:year2011-pr_reply:nonmember:mayaviFALSE:year2011" 1.68405148364754 0.092171719444069 0.269770886177763
"issue_reply:member:mayaviTRUE:year2012-issue_reply:member:mayaviFALSE:year2012" -0.618623425250712 0.53616446616781 0.775358820920383
"issue_post:nonmember:mayaviTRUE:year2012-issue_post:nonmember:mayaviFALSE:year2012" 0.446825461275717 0.655001086089373 0.832969453087399
"pr_post:nonmember:mayaviTRUE:year2012-pr_post:nonmember:mayaviFALSE:year2012" 1.36230427610445 0.17310187870727 0.412315429414861
"issue_reply:nonmember:mayaviTRUE:year2012-issue_reply:nonmember:mayaviFALSE:year2012" -2.1831378365308 0.0290256609435933 0.116102643774373
"pr_reply:nonmember:mayaviTRUE:year2012-pr_reply:nonmember:mayaviFALSE:year2012" 2.83993133024718 0.00451232461983642 0.0270739477190185
"issue_post:member:mayaviTRUE:year2013-issue_post:member:mayaviFALSE:year2013" -0.572450088845386 0.5670170901921 0.793493304058915
"pr_post:member:mayaviTRUE:year2013-pr_post:member:mayaviFALSE:year2013" -0.678072826655809 0.497725518886939 0.74976446867466
"issue_reply:member:mayaviTRUE:year2013-issue_reply:member:mayaviFALSE:year2013" -0.725850194224406 0.467930612088206 0.725060522882236
"pr_reply:member:mayaviTRUE:year2013-pr_reply:member:mayaviFALSE:year2013" 0.574657718409647 0.565522808204774 0.793493304058915
"issue_post:nonmember:mayaviTRUE:year2013-issue_post:nonmember:mayaviFALSE:year2013" 0.803964604822045 0.4214174169865 0.704419609453361
"pr_post:nonmember:mayaviTRUE:year2013-pr_post:nonmember:mayaviFALSE:year2013" -0.0107748155915815 0.991403107339376 0.991403107339376
"issue_reply:nonmember:mayaviTRUE:year2013-issue_reply:nonmember:mayaviFALSE:year2013" 0.13177418020602 0.895162909642564 0.95061547926644
"pr_reply:nonmember:mayaviTRUE:year2013-pr_reply:nonmember:mayaviFALSE:year2013" 3.67215445562201 0.000240514237849432 0.00259802364220687
"pr_post:member:mayaviTRUE:year2014-pr_post:member:mayaviFALSE:year2014" -1.7637351601921 0.0777765785476732 0.239312549377456
"issue_reply:member:mayaviTRUE:year2014-issue_reply:member:mayaviFALSE:year2014" -2.9921186596383 0.00277048554596626 0.0179707170549163
"pr_reply:member:mayaviTRUE:year2014-pr_reply:member:mayaviFALSE:year2014" 2.2370937890683 0.0252802108190906 0.104976923514268
"issue_post:nonmember:mayaviTRUE:year2014-issue_post:nonmember:mayaviFALSE:year2014" 2.43083580579891 0.0150640394595587 0.0704686631234342
"pr_post:nonmember:mayaviTRUE:year2014-pr_post:nonmember:mayaviFALSE:year2014" 0.694299138406162 0.487494631213563 0.742848961849239
"issue_reply:nonmember:mayaviTRUE:year2014-issue_reply:nonmember:mayaviFALSE:year2014" -0.228344213114205 0.819378655228047 0.925415892963441
"pr_reply:nonmember:mayaviTRUE:year2014-pr_reply:nonmember:mayaviFALSE:year2014" -0.271714312427925 0.785841695468516 0.917712548938936
"issue_post:member:mayaviTRUE:year2015-issue_post:member:mayaviFALSE:year2015" 0.95913985097921 0.337488296930068 0.623055317409356
"pr_post:member:mayaviTRUE:year2015-pr_post:member:mayaviFALSE:year2015" 0.370948977295938 0.710675534832571 0.879186228658851
