"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"typeissue_post:author_groupmember"	0.0759253985083355	0.00962813278411741	12.1053323206198	7.88578639397062	0.00000412131027922787
"typepr_post:author_groupmember"	0.0697703936231374	0.00930072382607083	10.5398265311738	7.50160900677045	0.000015295846276395
"typeissue_reply:author_groupmember"	0.171662896102553	0.00895851563740636	9.07121827714246	19.1619798469484	0.0000000119598265475272
"typepr_reply:author_groupmember"	0.215744400409511	0.00893392368500388	8.97145898342335	24.1488967240286	0.00000000179505157662168
"typeissue_post:author_groupnonmember"	0.0814551964673347	0.00888545271271299	8.80361451435245	9.16725338606456	0.00000853858743817215
"typepr_post:author_groupnonmember"	0.103276462916863	0.00916131497155009	9.93391209934823	11.2731047057744	0.000000556411385667952
"typeissue_reply:author_groupnonmember"	0.1959968727387	0.00858257928717615	7.66215776913901	22.8365933107723	0.0000000252258915072824
"typepr_reply:author_groupnonmember"	0.212566616304581	0.00873312424051365	8.20208836085827	24.3402716428181	0.000000006122982587999
