"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typeissue_post:author_groupmember:year2010"	0.107335137405819	0.0705808525545211	489132.489233622	1.52074016565479	0.128325701358834
"projectscikit-learn:typeissue_post:author_groupmember:year2010"	-0.00472379882128247	0.105907690935887	488790.758061113	-0.0446029818943187	0.964423784039332
"projectnumpy:typepr_post:author_groupmember:year2010"	0.0378239828286959	0.122602732439647	488928.654773324	0.308508481630418	0.757695578815559
"projectscikit-learn:typepr_post:author_groupmember:year2010"	-0.00472379882128246	0.211260379707851	488538.49367602	-0.0223600791961793	0.982160733701794
"projectpandas:typeissue_reply:author_groupmember:year2010"	0.0303187840102694	0.0417722836150009	490363.254292457	0.725811025552397	0.467954973298754
"projectscikit-learn:typeissue_reply:author_groupmember:year2010"	-0.00472379882128248	0.149514576806687	488623.040570892	-0.0315942359746639	0.974795653026846
"projectnumpy:typepr_reply:author_groupmember:year2010"	0.0378239828286958	0.0680867459097371	489975.019848456	0.55552637041634	0.578534931651879
"projectscikit-learn:typepr_reply:author_groupmember:year2010"	0.18431634133143	0.0458627417491921	490221.380349737	4.01886878764017	0.0000584869474285064
"projectpandas:typeissue_post:author_groupnonmember:year2010"	0.152665291579513	0.0571041147884328	347492.168409227	2.67345518173478	0.00750778145905542
"projectscikit-learn:typeissue_post:author_groupnonmember:year2010"	0.0838781218043816	0.0709166723140726	490664.476775228	1.18277013101949	0.236900834356803
"projectnumpy:typepr_post:author_groupnonmember:year2010"	0.115969701615065	0.0415815100543888	506138.557968775	2.78897282622436	0.00528774756768975
"projectscikit-learn:typepr_post:author_groupnonmember:year2010"	0.0212816783654512	0.0460155367481252	507645.8759198	0.462488973712087	0.643730905905172
"projectpandas:typeissue_reply:author_groupnonmember:year2010"	0.10592597805476	0.0753656871785542	260258.977849349	1.40549342837946	0.159875795803106
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2010"	0.162650827995019	0.0947033528672865	489009.83207998	1.71747697489603	0.0858926910434749
"projectnumpy:typepr_reply:author_groupnonmember:year2010"	0.0977584254651376	0.0235094445006297	493859.914434828	4.15826181952191	0.000032073239890091
"projectscikit-learn:typepr_reply:author_groupnonmember:year2010"	0.102134297042095	0.0206276292750252	504693.496551876	4.95133472103618	0.000000737299125669888
"projectmatplotlib:typeissue_post:author_groupmember:year2011"	0.211499159275605	0.023088427495361	506573.861355308	9.16039688359463	0.0000000000000000000518910431535194
"projectpandas:typeissue_post:author_groupmember:year2011"	0.0327960672882917	0.0127501626252619	504208.381291397	2.57220776332004	0.0101055064167546
"projectscikit-image:typeissue_post:author_groupmember:year2011"	0.0520647112084452	0.0944563960408183	488785.524030799	0.551203660003564	0.581494323335305
"projectscikit-learn:typeissue_post:author_groupmember:year2011"	0.0389729237289682	0.0224783401113286	494357.609725738	1.73379900544021	0.0829543756404287
"projectmatplotlib:typepr_post:author_groupmember:year2011"	0.0905834379726616	0.0167414959237162	498872.750174579	5.41071349808951	0.0000000628029182160025
"projectnumpy:typepr_post:author_groupmember:year2011"	0.061714637930448	0.0276775633411359	493680.498023225	2.22977135558477	0.0257630738518995
"projectpandas:typepr_post:author_groupmember:year2011"	0.0837782907466525	0.0478350531770509	490538.539997714	1.75139955288783	0.0798777348961142
