"t_stats" "p_value"
"issue_reply:nonmember:numpyTRUE:year2015-issue_reply:nonmember:numpyFALSE:year2015" -2.43825192159276 0.0147584847797788
"pr_reply:nonmember:numpyTRUE:year2015-pr_reply:nonmember:numpyFALSE:year2015" -0.281237368315521 0.778528345021486
"issue_post:member:numpyTRUE:year2016-issue_post:member:numpyFALSE:year2016" -3.54793023357509 0.000388271052604416
"pr_post:member:numpyTRUE:year2016-pr_post:member:numpyFALSE:year2016" -1.52769547023178 0.126588165318395
"issue_reply:member:numpyTRUE:year2016-issue_reply:member:numpyFALSE:year2016" -2.34117204731105 0.019223306318995
"pr_reply:member:numpyTRUE:year2016-pr_reply:member:numpyFALSE:year2016" 1.71898804738852 0.0856165483606077
"issue_post:nonmember:numpyTRUE:year2016-issue_post:nonmember:numpyFALSE:year2016" -3.55912432296426 0.000372093373135485
"pr_post:nonmember:numpyTRUE:year2016-pr_post:nonmember:numpyFALSE:year2016" -1.07695027991807 0.2815024787399
"issue_reply:nonmember:numpyTRUE:year2016-issue_reply:nonmember:numpyFALSE:year2016" -0.876300437808221 0.380866727112368
"pr_reply:nonmember:numpyTRUE:year2016-pr_reply:nonmember:numpyFALSE:year2016" 1.41281884028165 0.157708997183871
"issue_post:member:numpyTRUE:year2017-issue_post:member:numpyFALSE:year2017" -2.68710156093958 0.00720750342295462
"pr_post:member:numpyTRUE:year2017-pr_post:member:numpyFALSE:year2017" -1.08400661122214 0.278361867541421
"issue_reply:member:numpyTRUE:year2017-issue_reply:member:numpyFALSE:year2017" -7.72191852834065 1.15463194561016e-14
"pr_reply:member:numpyTRUE:year2017-pr_reply:member:numpyFALSE:year2017" 1.09618892984462 0.27299610314448
"issue_post:nonmember:numpyTRUE:year2017-issue_post:nonmember:numpyFALSE:year2017" -2.05900540613846 0.0394937206024832
"pr_post:nonmember:numpyTRUE:year2017-pr_post:nonmember:numpyFALSE:year2017" -2.80392104997715 0.00504852656455279
"issue_reply:nonmember:numpyTRUE:year2017-issue_reply:nonmember:numpyFALSE:year2017" -1.36601331549198 0.171934784065146
"pr_reply:nonmember:numpyTRUE:year2017-pr_reply:nonmember:numpyFALSE:year2017" -0.464036806681441 0.642621375512793
"issue_post:member:numpyTRUE:year2018-issue_post:member:numpyFALSE:year2018" -1.48632546372217 0.137193054535548
"pr_post:member:numpyTRUE:year2018-pr_post:member:numpyFALSE:year2018" -0.343108056163572 0.731517170664846
"issue_reply:member:numpyTRUE:year2018-issue_reply:member:numpyFALSE:year2018" -3.46860519759377 0.000523167656786505
"pr_reply:member:numpyTRUE:year2018-pr_reply:member:numpyFALSE:year2018" 0.533903271181762 0.593408458751486
"issue_post:nonmember:numpyTRUE:year2018-issue_post:nonmember:numpyFALSE:year2018" -3.88186070476237 0.000103660252109172
"pr_post:nonmember:numpyTRUE:year2018-pr_post:nonmember:numpyFALSE:year2018" -2.67767754432441 0.0074134550632694
"issue_reply:nonmember:numpyTRUE:year2018-issue_reply:nonmember:numpyFALSE:year2018" -3.46050467666642 0.000539163868482184
"pr_reply:nonmember:numpyTRUE:year2018-pr_reply:nonmember:numpyFALSE:year2018" -0.353269982051224 0.723886047411444
"issue_post:member:scikit-learnTRUE:year2010-issue_post:member:scikit-learnFALSE:year2010" -0.489780591117455 0.624289166333501
"pr_post:member:scikit-learnTRUE:year2010-pr_post:member:scikit-learnFALSE:year2010" -2.58525984886937 0.00973056325094146
"issue_reply:member:scikit-learnTRUE:year2010-issue_reply:member:scikit-learnFALSE:year2010" -0.333065261617024 0.739085020940375
"pr_reply:member:scikit-learnTRUE:year2010-pr_reply:member:scikit-learnFALSE:year2010" -0.539554105752402 0.589504574171735
"issue_post:nonmember:scikit-learnTRUE:year2010-issue_post:nonmember:scikit-learnFALSE:year2010" 0.0963447781266835 0.92324674866963
"pr_post:nonmember:scikit-learnTRUE:year2010-pr_post:nonmember:scikit-learnFALSE:year2010" -0.0924053722172033 0.926375971280692
"issue_reply:nonmember:scikit-learnTRUE:year2010-issue_reply:nonmember:scikit-learnFALSE:year2010" -1.13651092253111 0.25574279692804
"pr_reply:nonmember:scikit-learnTRUE:year2010-pr_reply:nonmember:scikit-learnFALSE:year2010" 2.44746185001767 0.0143866354742865
"issue_post:member:scikit-learnTRUE:year2011-issue_post:member:scikit-learnFALSE:year2011" 0.304518160989437 0.760733158851312
"pr_post:member:scikit-learnTRUE:year2011-pr_post:member:scikit-learnFALSE:year2011" 5.64373493906673 1.66400191403682e-08
"issue_reply:member:scikit-learnTRUE:year2011-issue_reply:member:scikit-learnFALSE:year2011" 1.57822015364738 0.114515041819981
"pr_reply:member:scikit-learnTRUE:year2011-pr_reply:member:scikit-learnFALSE:year2011" 2.40490981497096 0.0161764572879299
"issue_post:nonmember:scikit-learnTRUE:year2011-issue_post:nonmember:scikit-learnFALSE:year2011" 0.274464080701578 0.783728003545259
"pr_post:nonmember:scikit-learnTRUE:year2011-pr_post:nonmember:scikit-learnFALSE:year2011" 0.399921921432485 0.689214025687358
"issue_reply:nonmember:scikit-learnTRUE:year2011-issue_reply:nonmember:scikit-learnFALSE:year2011" 0.691264140842926 0.489399562369446
"pr_reply:nonmember:scikit-learnTRUE:year2011-pr_reply:nonmember:scikit-learnFALSE:year2011" -0.916599635838466 0.359352475273702
"issue_post:member:scikit-learnTRUE:year2012-issue_post:member:scikit-learnFALSE:year2012" 2.07220478429837 0.0382463474328099
"pr_post:member:scikit-learnTRUE:year2012-pr_post:member:scikit-learnFALSE:year2012" 3.03641593287312 0.0023940885883591
"issue_reply:member:scikit-learnTRUE:year2012-issue_reply:member:scikit-learnFALSE:year2012" 3.984701338111 6.756504982941e-05
"pr_reply:member:scikit-learnTRUE:year2012-pr_reply:member:scikit-learnFALSE:year2012" 4.20309832862763 2.63286148425301e-05
"issue_post:nonmember:scikit-learnTRUE:year2012-issue_post:nonmember:scikit-learnFALSE:year2012" -1.9348967129272 0.05300297165582
"pr_post:nonmember:scikit-learnTRUE:year2012-pr_post:nonmember:scikit-learnFALSE:year2012" 2.66730234643968 0.00764628501357389
"issue_reply:nonmember:scikit-learnTRUE:year2012-issue_reply:nonmember:scikit-learnFALSE:year2012" -0.278886745615843 0.780331740615549
"pr_reply:nonmember:scikit-learnTRUE:year2012-pr_reply:nonmember:scikit-learnFALSE:year2012" -0.171750120777707 0.863633980544596
"issue_post:member:scikit-learnTRUE:year2013-issue_post:member:scikit-learnFALSE:year2013" -0.322398755379286 0.747150626995277
"pr_post:member:scikit-learnTRUE:year2013-pr_post:member:scikit-learnFALSE:year2013" 3.85172442155846 0.00011728897193386
"issue_reply:member:scikit-learnTRUE:year2013-issue_reply:member:scikit-learnFALSE:year2013" 2.3173097233789 0.0204868660173247
"pr_reply:member:scikit-learnTRUE:year2013-pr_reply:member:scikit-learnFALSE:year2013" 5.49744466634203 3.85334169017426e-08
"issue_post:nonmember:scikit-learnTRUE:year2013-issue_post:nonmember:scikit-learnFALSE:year2013" 0.136639363660627 0.891315860591941
"pr_post:nonmember:scikit-learnTRUE:year2013-pr_post:nonmember:scikit-learnFALSE:year2013" 0.893882658260255 0.371384677252386
"issue_reply:nonmember:scikit-learnTRUE:year2013-issue_reply:nonmember:scikit-learnFALSE:year2013" -2.28581073007756 0.0222653336790881
"pr_reply:nonmember:scikit-learnTRUE:year2013-pr_reply:nonmember:scikit-learnFALSE:year2013" 1.79407202979877 0.0728016727543328
"issue_post:member:scikit-learnTRUE:year2014-issue_post:member:scikit-learnFALSE:year2014" -1.36726998264671 0.171540696793614
"pr_post:member:scikit-learnTRUE:year2014-pr_post:member:scikit-learnFALSE:year2014" 2.59935149211794 0.00934000823223857
"issue_reply:member:scikit-learnTRUE:year2014-issue_reply:member:scikit-learnFALSE:year2014" -0.273250633149865 0.784660560724811
"pr_reply:member:scikit-learnTRUE:year2014-pr_reply:member:scikit-learnFALSE:year2014" 3.41788099677544 0.000631106946484605
"issue_post:nonmember:scikit-learnTRUE:year2014-issue_post:nonmember:scikit-learnFALSE:year2014" 1.70564537323203 0.0880741260905844
"pr_post:nonmember:scikit-learnTRUE:year2014-pr_post:nonmember:scikit-learnFALSE:year2014" 1.35087332026769 0.176736015960124
