"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectpandas:typeissue_post:author_groupmember:year2010"	0.112495718450606	0.137726238262924	491560.460614434	0.816806731015538	0.414039280862288
"projectscikit-learn:typeissue_post:author_groupmember:year2010"	-0.0218357180538872	0.206676168607131	491194.101116033	-0.105651842692103	0.915858633516658
"projectnumpy:typepr_post:author_groupmember:year2010"	0.0580820106845621	0.239237774710276	491913.111789213	0.242779430442793	0.808176372262397
"projectscikit-learn:typepr_post:author_groupmember:year2010"	-0.712635718053887	0.412297392539338	490759.77781762	-1.72845070317997	0.0839080808855473
"projectpandas:typeissue_reply:author_groupmember:year2010"	0.0865546928095808	0.0814860189743429	493254.796990753	1.06220298769086	0.288144063854355
"projectscikit-learn:typeissue_reply:author_groupmember:year2010"	-0.0218357180538871	0.291787146869645	490905.609682722	-0.0748344068206752	0.940346496368034
"projectnumpy:typepr_reply:author_groupmember:year2010"	0.338398677351229	0.132809358859485	494660.791849167	2.54800324508202	0.0108344459674282
"projectscikit-learn:typepr_reply:author_groupmember:year2010"	0.232518827400658	0.0894646307448903	493608.982926733	2.59900281781399	0.00934977860806918
"projectpandas:typeissue_post:author_groupnonmember:year2010"	-0.0335546823090084	0.107335276978724	309974.027349141	-0.312615602749686	0.754572932900734
"projectscikit-learn:typeissue_post:author_groupnonmember:year2010"	-0.0170573790918427	0.138300796232021	495517.286675057	-0.123335364340392	0.901841587929767
"projectnumpy:typepr_post:author_groupnonmember:year2010"	0.167666272078864	0.0803667160408717	506700.375134143	2.08626506517443	0.0369551181103084
"projectscikit-learn:typepr_post:author_groupnonmember:year2010"	0.0976199517581012	0.0890407820651716	506244.006413471	1.09635101460194	0.272925713774018
"projectpandas:typeissue_reply:author_groupnonmember:year2010"	0.076699835566692	0.138508613548174	126634.838841813	0.553754987519355	0.579747515235356
"projectscikit-learn:typeissue_reply:author_groupnonmember:year2010"	-0.177629953720747	0.184796256993301	491820.197777339	-0.961220517183885	0.336441774891048
"projectnumpy:typepr_reply:author_groupnonmember:year2010"	0.142123275538077	0.0458180336393443	497741.505370396	3.10190691850282	0.0019228915592641
"projectscikit-learn:typepr_reply:author_groupnonmember:year2010"	0.248797877317338	0.0399597742720142	501209.834560078	6.22620827694673	0.000000000478235328133804
"projectmatplotlib:typeissue_post:author_groupmember:year2011"	0.166950288425473	0.0442228210670887	336319.610873057	3.77520665568123	0.000159902520229168
"projectpandas:typeissue_post:author_groupmember:year2011"	0.0316785719595259	0.0247509045570393	507646.380791618	1.27989552408162	0.200582466898683
"projectscikit-image:typeissue_post:author_groupmember:year2011"	0.119963448067322	0.184332287463049	490997.694601707	0.650799974971123	0.515175920925421
"projectscikit-learn:typeissue_post:author_groupmember:year2011"	0.0492217398776513	0.0438033852740973	498110.928004872	1.12369716563341	0.26114206080486
"projectmatplotlib:typepr_post:author_groupmember:year2011"	0.0228269924924631	0.032574655958725	503938.660145748	0.700759281122936	0.483453576991411
"projectnumpy:typepr_post:author_groupmember:year2011"	0.122210272791688	0.0539291409259302	500097.72868708	2.26612682296459	0.0234440448186325
"projectpandas:typepr_post:author_groupmember:year2011"	0.0874559845035237	0.0932974664628926	494838.349007414	0.937388632501696	0.348559143601051
"projectscikit-image:typepr_post:author_groupmember:year2011"	0.0505976124053844	0.0723547268338635	496140.394494172	0.699299335640691	0.484365309969374
"projectscikit-learn:typepr_post:author_groupmember:year2011"	0.304158149105296	0.0334088943268372	501188.458479901	9.10410701203504	0.0000000000000000000872847148975656
"projectscipy:typepr_post:author_groupmember:year2011"	0.0109904739927699	0.0881018359282386	492122.568846547	0.124747388938886	0.900723590403832
"projectmatplotlib:typeissue_reply:author_groupmember:year2011"	0.081475856044675	0.028148381215293	507247.338194685	2.8945130244438	0.00379763338097872
"projectpandas:typeissue_reply:author_groupmember:year2011"	0.189709946384586	0.0214993642833134	506419.297606471	8.82397934583716	0.0000000000000000011080213654772
