"Estimate"	"Std..Error"	"df"	"t.value"	"Pr...t.."
"projectsphinx-gallery:typeissue_post:author_groupnonmember"	0.0537575683210954	0.0400759215952138	499228.449864869	1.34139319025706	0.179793437563343
"projectmatplotlib:typepr_post:author_groupnonmember"	0.0885179316172423	0.0100224198345649	264882.383708215	8.83199198181319	0.00000000000000000103435055464114
"projectmayavi:typepr_post:author_groupnonmember"	0.0108467045938663	0.0438434333730321	344368.497664297	0.247396331888052	0.804601660194432
"projectnumpy:typepr_post:author_groupnonmember"	0.0628818031558763	0.0105675354192913	303970.639984729	5.95047006334929	0.00000000267664701648727
"projectpandas:typepr_post:author_groupnonmember"	0.0952603024218486	0.00765487967742493	197858.980973857	12.4443892570619	0.0000000000000000000000000000000000154701224980317
"projectscikit-image:typepr_post:author_groupnonmember"	0.249454314952314	0.0161086589690742	336396.02442469	15.4857282304643	0.00000000000000000000000000000000000000000000000000000452194155395778
"projectscikit-learn:typepr_post:author_groupnonmember"	0.100785096413838	0.00780914569721921	206902.921262498	12.9060335562348	0.0000000000000000000000000000000000000430547061794985
"projectscipy:typepr_post:author_groupnonmember"	0.114617601243993	0.0107503645390347	309179.52338036	10.6617408951869	0.0000000000000000000000000155335477275612
"projectsphinx-gallery:typepr_post:author_groupnonmember"	0.202695187067717	0.051729292734842	503213.868331824	3.91838311238291	0.0000891567120325817
"projectmatplotlib:typeissue_reply:author_groupnonmember"	0.175620706005092	0.00530311992360689	69589.1017228975	33.1164877534288	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124795072243885
"projectmayavi:typeissue_reply:author_groupnonmember"	0.134627974484322	0.0159253844810634	105624.228964875	8.45367184976949	0.0000000000000000285809392989246
"projectnumpy:typeissue_reply:author_groupnonmember"	0.166851034708864	0.00559750785953303	82452.3476678666	29.808092975645	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033222109099646
"projectpandas:typeissue_reply:author_groupnonmember"	0.205939555930699	0.00398945413583268	47911.3759182558	51.620985959202	0
"projectscikit-image:typeissue_reply:author_groupnonmember"	0.215026720685781	0.0105880891596268	121132.83819358	20.3083594635464	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000154224146980069
"projectscikit-learn:typeissue_reply:author_groupnonmember"	0.204581952567004	0.0046944992605936	56289.0064568508	43.5790786643208	0
"projectscipy:typeissue_reply:author_groupnonmember"	0.215187064892541	0.00646434964000413	110758.097908337	33.2882775338871	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000089998410271434
"projectsphinx-gallery:typeissue_reply:author_groupnonmember"	0.225392041135788	0.0247203347560365	354170.904573233	9.11767754604328	0.0000000000000000000771356566223547
"projectmatplotlib:typepr_reply:author_groupnonmember"	0.201896300718451	0.00692686716887807	85983.9326016204	29.1468416812665	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000740326161047069
"projectmayavi:typepr_reply:author_groupnonmember"	0.190753377354048	0.0333962742620439	192499.312196828	5.71181611030325	0.0000000111940803467525
"projectnumpy:typepr_reply:author_groupnonmember"	0.211868429699611	0.00695821854056626	106830.629294339	30.4486598781602	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000925961136436566
"projectpandas:typepr_reply:author_groupnonmember"	0.178324205176664	0.00528477807562561	56746.3452273576	33.7429883762061	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000383598401121649
"projectscikit-image:typepr_reply:author_groupnonmember"	0.251240887847982	0.00891471885355181	112466.528670942	28.1827045782697	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000386090794554863
"projectscikit-learn:typepr_reply:author_groupnonmember"	0.232020055953165	0.00488605278329165	44926.2813447978	47.4861951443875	0
"projectscipy:typepr_reply:author_groupnonmember"	0.24973486533256	0.00673782086858247	108897.229461	37.0646341307527	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000771457903875184
"projectsphinx-gallery:typepr_reply:author_groupnonmember"	0.204539408670783	0.025272193730677	451195.112311512	8.09345681861011	0.000000000000000581370824944646
