"t_stats" "p_value" "p_val_adjusted"
"issue_post:nonmember:sphinx-galleryTRUE:year2014-issue_post:nonmember:sphinx-galleryFALSE:year2014" 0.00987162608899056 0.992123709876552 0.997023086221621
"pr_post:nonmember:sphinx-galleryTRUE:year2014-pr_post:nonmember:sphinx-galleryFALSE:year2014" 0.148070243531866 0.882287332770138 0.947892323189774
"issue_reply:nonmember:sphinx-galleryTRUE:year2014-issue_reply:nonmember:sphinx-galleryFALSE:year2014" -0.750441512165812 0.452988837103975 0.714598669384952
"pr_reply:nonmember:sphinx-galleryTRUE:year2014-pr_reply:nonmember:sphinx-galleryFALSE:year2014" -0.691162324301547 0.489463537432048 0.737820961980903
"issue_post:member:sphinx-galleryTRUE:year2015-issue_post:member:sphinx-galleryFALSE:year2015" 0.135635976827743 0.892109062865551 0.947892323189774
"pr_post:member:sphinx-galleryTRUE:year2015-pr_post:member:sphinx-galleryFALSE:year2015" 0.17540288786599 0.860763071575817 0.947892323189774
"issue_reply:member:sphinx-galleryTRUE:year2015-issue_reply:member:sphinx-galleryFALSE:year2015" -0.548897611848653 0.583075717175716 0.832233702394233
"pr_reply:member:sphinx-galleryTRUE:year2015-pr_reply:member:sphinx-galleryFALSE:year2015" -2.6502126780283 0.00804411156817753 0.0369500503206148
"issue_post:nonmember:sphinx-galleryTRUE:year2015-issue_post:nonmember:sphinx-galleryFALSE:year2015" -1.03668893978154 0.299880848197102 0.5730117615785
"pr_post:nonmember:sphinx-galleryTRUE:year2015-pr_post:nonmember:sphinx-galleryFALSE:year2015" 0.874479547666179 0.381857153499935 0.663285508297527
"issue_reply:nonmember:sphinx-galleryTRUE:year2015-issue_reply:nonmember:sphinx-galleryFALSE:year2015" -2.64681034875416 0.00812549083121783 0.0369500503206148
"pr_reply:nonmember:sphinx-galleryTRUE:year2015-pr_reply:nonmember:sphinx-galleryFALSE:year2015" -2.56119444333427 0.0104312955657715 0.0446736313575887
"issue_post:member:sphinx-galleryTRUE:year2016-issue_post:member:sphinx-galleryFALSE:year2016" -0.275071916052781 0.78326098734459 0.94665109791683
"pr_post:member:sphinx-galleryTRUE:year2016-pr_post:member:sphinx-galleryFALSE:year2016" 0.300833439639031 0.763541507718628 0.936028294100848
"issue_reply:member:sphinx-galleryTRUE:year2016-issue_reply:member:sphinx-galleryFALSE:year2016" -0.806947915948581 0.419696491149423 0.695326118045846
"pr_reply:member:sphinx-galleryTRUE:year2016-pr_reply:member:sphinx-galleryFALSE:year2016" -1.48650125047411 0.137146586348053 0.355532870341768
"issue_post:nonmember:sphinx-galleryTRUE:year2016-issue_post:nonmember:sphinx-galleryFALSE:year2016" 1.90668854133762 0.0565609316966127 0.184462683453562
"pr_post:nonmember:sphinx-galleryTRUE:year2016-pr_post:nonmember:sphinx-galleryFALSE:year2016" -0.211474072812452 0.832517361619396 0.947892323189774
"issue_reply:nonmember:sphinx-galleryTRUE:year2016-issue_reply:nonmember:sphinx-galleryFALSE:year2016" 0.166335993800314 0.867892541620984 0.947892323189774
"pr_reply:nonmember:sphinx-galleryTRUE:year2016-pr_reply:nonmember:sphinx-galleryFALSE:year2016" -1.40484557329642 0.160067203941304 0.392453927735607
"issue_post:member:sphinx-galleryTRUE:year2018-issue_post:member:sphinx-galleryFALSE:year2018" 0.153149880427805 0.878280080916465 0.947892323189774
"pr_post:member:sphinx-galleryTRUE:year2018-pr_post:member:sphinx-galleryFALSE:year2018" -0.153315895696722 0.878149165917099 0.947892323189774
"issue_reply:member:sphinx-galleryTRUE:year2018-issue_reply:member:sphinx-galleryFALSE:year2018" 0.494192596360142 0.621170167954019 0.859919246113216
"pr_reply:member:sphinx-galleryTRUE:year2018-pr_reply:member:sphinx-galleryFALSE:year2018" -0.698457168164845 0.484891335156242 0.737820961980903
"issue_post:nonmember:sphinx-galleryTRUE:year2018-issue_post:nonmember:sphinx-galleryFALSE:year2018" 0.321225424269634 0.748039566487178 0.931046188257742
"pr_post:nonmember:sphinx-galleryTRUE:year2018-pr_post:nonmember:sphinx-galleryFALSE:year2018" -0.0400471365959006 0.96805554684328 0.982540168491807
"issue_reply:nonmember:sphinx-galleryTRUE:year2018-issue_reply:nonmember:sphinx-galleryFALSE:year2018" 3.46727583754602 0.000525762060431312 0.00403745582255743
"pr_reply:nonmember:sphinx-galleryTRUE:year2018-pr_reply:nonmember:sphinx-galleryFALSE:year2018" -0.0936212752255248 0.925410008655155 0.959686760356004
"issue_post:nonmember:mayaviTRUE:year2011-issue_post:nonmember:mayaviFALSE:year2011" 1.13300164014076 0.257213564548573 0.515694190991474
"pr_post:nonmember:mayaviTRUE:year2011-pr_post:nonmember:mayaviFALSE:year2011" 0.211758477714459 0.832295463832991 0.947892323189774
"issue_reply:nonmember:mayaviTRUE:year2011-issue_reply:nonmember:mayaviFALSE:year2011" -1.10305612710791 0.270002791759267 0.532449942157984
"pr_reply:nonmember:mayaviTRUE:year2011-pr_reply:nonmember:mayaviFALSE:year2011" 1.826411694807 0.0677882715942633 0.209013837415645
"issue_post:nonmember:mayaviTRUE:year2012-issue_post:nonmember:mayaviFALSE:year2012" 0.602474797932652 0.546858133984702 0.794154561732643
"pr_post:nonmember:mayaviTRUE:year2012-pr_post:nonmember:mayaviFALSE:year2012" 1.29347239009202 0.195847727280066 0.452897869335154
"issue_reply:nonmember:mayaviTRUE:year2012-issue_reply:nonmember:mayaviFALSE:year2012" -1.69935328520078 0.0892526382631491 0.25402673967204
"pr_reply:nonmember:mayaviTRUE:year2012-pr_reply:nonmember:mayaviFALSE:year2012" 2.99024726705496 0.00278751697112867 0.015979146580977
"issue_post:nonmember:mayaviTRUE:year2013-issue_post:nonmember:mayaviFALSE:year2013" 0.546368189324424 0.584812871952704 0.832233702394233
"pr_post:nonmember:mayaviTRUE:year2013-pr_post:nonmember:mayaviFALSE:year2013" -0.286633988562645 0.774392586816484 0.944587408327452
"issue_reply:nonmember:mayaviTRUE:year2013-issue_reply:nonmember:mayaviFALSE:year2013" -0.0920284670008842 0.92667542216194 0.959686760356004
"pr_reply:nonmember:mayaviTRUE:year2013-pr_reply:nonmember:mayaviFALSE:year2013" 3.23561910072151 0.00121379236134378 0.00823355818444864
"pr_post:member:mayaviTRUE:year2014-pr_post:member:mayaviFALSE:year2014" -2.00348625953077 0.0451251209798293 0.155643425752462
"issue_reply:member:mayaviTRUE:year2014-issue_reply:member:mayaviFALSE:year2014" -3.22413537748017 0.0012635365141862 0.00843048133235713
"pr_reply:member:mayaviTRUE:year2014-pr_reply:member:mayaviFALSE:year2014" 1.50459345043486 0.132428631180171 0.34998995383331
"issue_post:nonmember:mayaviTRUE:year2014-issue_post:nonmember:mayaviFALSE:year2014" 2.46077228828272 0.0138638327106411 0.0575773460533767
"pr_post:nonmember:mayaviTRUE:year2014-pr_post:nonmember:mayaviFALSE:year2014" 0.133399062524326 0.893877786779762 0.947892323189774
"issue_reply:nonmember:mayaviTRUE:year2014-issue_reply:nonmember:mayaviFALSE:year2014" -0.148022131855869 0.882325301947263 0.947892323189774
"pr_reply:nonmember:mayaviTRUE:year2014-pr_reply:nonmember:mayaviFALSE:year2014" 0.833416905857591 0.404609643394024 0.682151121779838
"issue_post:member:mayaviTRUE:year2015-issue_post:member:mayaviFALSE:year2015" 0.745393097480548 0.456034115433192 0.716625038537873
"pr_post:member:mayaviTRUE:year2015-pr_post:member:mayaviFALSE:year2015" 0.119109320419177 0.905188746686638 0.952233453769195
"issue_reply:member:mayaviTRUE:year2015-issue_reply:member:mayaviFALSE:year2015" 1.05940312490972 0.289416227145224 0.560916211657649
"pr_reply:member:mayaviTRUE:year2015-pr_reply:member:mayaviFALSE:year2015" 0.698885622089541 0.484623513582398 0.737820961980903
"issue_post:nonmember:mayaviTRUE:year2015-issue_post:nonmember:mayaviFALSE:year2015" 3.62834709720912 0.000285241604717212 0.00257985184710901
